episode,action
0,"[72.46575,4.0960054,45.91432,9.781216,0.8999025,69.57026,5.1574345,66.07198,14.910993,0.9651185,4.4064646]"
1,"[,67.07497,6.2585564,79.341324,7.393318,0.99268687,129.98653,2.1464512,93.049736,14.574801,0.99687076,4.7445326,]"
2,"[,62.663277,6.1532726,132.55109,7.872037,0.8999433,138.90407,3.3124273,81.2289,7.921967,0.98900926,6.3970757,]"
3,"[,65.7038,5.229954,28.94751,9.522996,0.9586545,54.17092,1.9299912,100.52128,14.377941,0.96259505,8.083036,]"
4,"[,85.96295,4.388131,70.552956,10.123676,0.884776,106.90119,4.0105295,68.752686,13.393741,0.6838484,6.676574,]"
5,"[137.05034,2.3608613,12.652191,13.435196,0.8261931,146.89046,6.6974154,69.22075,5.364428,0.9252893,7.0992737]"
6,"[,88.52516,1.7992454,10.276459,9.932787,0.757945,138.96759,3.4725876,69.71309,7.4366064,0.9169414,6.3612013]"
7,"[,85.84693,4.5537357,49.52156,12.842829,0.80779374,82.41086,2.126279,101.66849,11.352823,0.97016835,5.947321,]"
8,"[122.669495,4.957139,16.60065,11.86902,0.959005,147.34723,4.910391,104.02981,14.015848,0.93870234,8.996719,]"
9,"[134.1481,3.3570113,139.53635,12.853455,0.681768,144.09628,4.3524733,69.12016,11.733875,0.9640734,4.0028996]"
10,"[,91.973755,5.645033,10.388458,10.825715,0.92364573,142.00407,1.6585681,91.27324,10.024002,0.99300015,6.3542085,]"
11,"[81.11256,4.570718,19.241867,6.8765507,0.948332,57.046173,6.6993904,69.75039,10.378231,0.9761624,5.9190125]"
12,"[,90.66034,4.517112,97.74872,9.592239,0.72946966,131.39787,2.046323,83.191345,8.848915,0.9562154,6.892521,]"
13,"[,38.807877,5.2583046,128.20912,9.259508,0.91896486,51.63494,5.3953266,86.34092,10.409119,0.89182603,6.1252656,]"
14,"[,68.57298,2.668047,91.53244,6.5589595,0.92879575,110.91223,2.120869,54.61656,14.234655,0.9084898,4.1804686,]"
15,"[66.295334,3.7238045,44.22576,9.793589,0.98163915,58.593815,3.0735688,85.13501,9.169367,0.99212277,5.575182,]"
16,"[,69.33391,5.178664,138.28539,7.865921,0.8711484,146.64337,3.638766,89.07254,14.343421,0.9588481,4.083145,]"
17,"[,97.167206,6.094212,147.0954,10.838969,0.98901904,144.23274,2.4832354,74.26525,13.03325,0.9889387,7.0942063,]"
18,"[67.79445,6.102601,12.883575,9.141418,0.934304,64.67111,2.1444483,71.383286,14.213127,0.9380409,8.069909,]"
19,"[135.18396,1.7410779,75.98107,9.435394,0.69512945,149.58327,4.369158,63.927254,14.559515,0.6565871,4.388857,]"
20,"[122.84868,5.7965117,71.01869,7.4262447,0.9739568,134.53378,4.613292,110.29706,10.336998,0.99318224,7.1902585,]"
21,"[114.58681,5.7449627,144.49762,8.882895,0.6923771,146.50986,5.5909224,86.64855,14.016955,0.97092116,7.2388334,]"
22,"[,93.70457,5.892503,46.226658,8.268437,0.6947041,142.04294,6.6424904,53.50438,7.776069,0.8748218,5.1028843]"
23,"[,98.22189,2.2419538,127.837,12.456408,0.98668635,143.227,4.74615,72.774,11.078199,0.95887643,8.438988,]"
24,"[,78.83046,1.9501843,131.08105,13.652559,0.36810708,100.60036,3.1800833,114.4612,10.025558,0.8573414,8.783385,]"
25,"[,59.154892,5.366795,28.920734,6.0203676,0.9491079,132.81201,2.8450918,126.22844,10.68544,0.6497341,7.2320747]"
26,"[,68.79303,3.1861763,113.69621,10.277237,0.61305594,80.255806,5.941659,57.41523,13.145418,0.55874586,7.166198,]"
27,"[68.87296,3.0920005,31.810238,10.8378,0.37680942,93.41928,5.4616284,96.82498,14.092804,0.9230311,6.066448,]"
28,"[,42.26063,5.704524,83.89898,13.204977,0.668392,149.15683,4.2906475,108.44255,14.716421,0.8062628,4.804658,]"
29,"[,64.79137,3.844893,16.348236,9.480319,0.89890605,133.16937,5.379523,76.92099,13.753096,0.938329,8.98085,]"
30,"[,72.041,5.8079605,11.029449,10.32372,0.784096,136.05312,4.2783384,81.11867,13.914619,0.7509125,4.614073,]"
