episode,action
0,"[,30.793457,1.3274043,78.80379,9.77526,0.893473,109.9583,6.223817,149.44774,5.2911186,0.98526716,7.0702686,]"
1,"[,63.51773,6.666062,133.34645,11.209306,0.9244123,116.92758,5.932776,119.60011,12.911523,0.9201896,4.5982323]"
2,"[,93.47518,4.556471,49.0763,5.6939464,0.7414798,128.1356,4.59741,136.15875,13.001397,0.97285885,6.8466034,]"
3,"[,32.80737,6.857942,87.21828,13.919918,0.2263501,148.90839,6.5581007,11.392715,14.99909,0.8258705,6.100731,]"
4,"[149.39513,5.880657,19.601173,9.621925,0.6868295,49.007534,4.7134714,10.099396,5.289198,0.21496415,6.305532,]"
5,"[107.62387,6.773114,86.29033,9.568039,0.2246111,146.42929,1.283262,118.17859,10.711121,0.3348689,7.7478895]"
6,"[103.316376,6.77482,48.458366,7.952666,0.47582257,84.67598,6.854431,29.581936,14.740074,0.16490692,8.657494,]"
7,"[79.19774,2.6081076,25.793003,12.725714,0.9538856,52.996117,6.4458375,10.851624,9.120631,0.20665216,4.6601863,]"
8,"[136.65411,5.2281227,51.51172,12.126937,0.8969033,38.38942,6.6429014,16.406788,14.998229,0.2917633,6.278192,]"
9,"[103.94259,1.5796626,87.5634,7.46964,0.84124964,148.6437,6.8074613,146.65755,5.5364466,0.9979819,5.6903725,]"
10,"[80.17108,5.357526,62.31745,13.885889,0.6605286,59.489017,5.399386,94.551315,14.517182,0.9418627,6.443499,]"
11,"[3.37378120e+01,2.60319543e+00,9.40723114e+01,8.93308926e+00,7.92299986e-01,1.25060547e+02,5.78331566e+00,1.26045387e+02,9.10280609e+00,1.04950845e-01,4.97969866e+00]"
12,"[83.561,2.3492162,55.000435,5.392384,0.37327182,68.20708,3.6964736,89.30373,14.367031,0.81600314,7.483864,]"
13,"[,44.231987,4.22033,22.168533,13.606083,0.46380073,148.31825,4.071672,15.191048,9.70145,0.916193,5.85417,]"
14,"[105.734314,1.3625014,64.39334,12.676031,0.7127956,107.95927,6.699033,17.05729,7.4781446,0.884845,5.5839787]"
15,"[31.798138,5.594561,51.283195,12.796997,0.4192797,30.61821,3.7883327,10.001137,13.264022,0.94654775,6.3643947,]"
16,"[108.78495,1.9957349,110.28976,11.330207,0.36368996,148.3006,6.67354,12.389343,8.8947735,0.25842157,4.4087877,]"
17,"[51.000645,1.9606886,17.039654,5.812404,0.21767828,32.204536,5.3613143,10.028854,14.90884,0.63040084,6.7097235,]"
18,"[,43.465836,2.1924267,32.362583,13.480766,0.585154,148.57883,5.543417,52.41085,14.838356,0.9650344,7.505526,]"
19,"[137.39034,5.663274,64.99653,10.881333,0.5742784,131.72234,6.9481716,19.798973,13.3427725,0.16420844,5.46787,]"
20,"[58.84522,1.8326101,39.03136,5.5251245,0.5326663,62.72885,6.9222827,47.35795,14.99822,0.12785542,7.3333263,]"
21,"[36.12473,2.3309383,85.0029,10.072718,0.2996158,86.36837,3.6254826,17.620506,14.657066,0.18357438,8.464129,]"
