episode,action
0,"[,61.4552,6.2254577,89.90169,8.075747,0.9948566,139.14972,6.7468324,75.18251,12.5907755,0.27613193,6.7382236,]"
1,"[130.75569,1.1685963,99.34662,7.6695805,0.7681146,31.242973,6.9055758,125.6252,12.841297,0.7771151,4.1569037]"
2,"[1.48058945e+02,1.00039244e+00,1.12445908e+01,6.90678120e+00,1.00000024e-01,1.49999969e+02,6.74581289e+00,3.12967072e+01,1.12266798e+01,9.89140689e-01,8.64603233e+00]"
3,"[114.672035,4.561941,38.294415,11.322316,0.9887766,30.035103,6.7119646,29.457844,11.177641,0.93256116,8.980209,]"
4,"[,42.8203,5.73553,70.395584,9.214662,0.21034524,148.88176,2.3952818,64.23288,13.343409,0.6285472,8.796089,]"
5,"[,46.380814,6.156264,123.25048,10.961167,0.8758594,135.71129,5.79514,102.43651,5.657149,0.2853815,4.745077,]"
6,"[1.09760590e+02,6.99504519e+00,1.35924530e+01,6.38927031e+00,1.02685332e-01,1.49813110e+02,6.01105213e+00,5.79162216e+01,1.12407465e+01,8.43713164e-01,7.24383211e+00]"
7,"[80.05269,1.0219772,77.41475,9.030129,0.99537706,30.185352,6.731111,60.160244,9.756583,0.20594421,8.300457,]"
8,"[132.27074,3.2351675,69.56549,7.2460546,0.5581992,140.87997,6.6671104,22.005634,9.343941,0.7645096,4.882948,]"
9,"[104.7935,6.99889,133.14493,9.486007,0.99667335,150.,6.999997,86.5499,11.334238,0.43748307,6.7590585,]"
10,"[8.0267250e+01,2.5049269e+00,1.2883411e+02,5.9349089e+00,6.7525452e-01,1.4917407e+02,6.6758223e+00,3.8267334e+01,1.4347054e+01,1.3806894e-01,4.5980501e+00]"
11,"[127.96231,5.6836386,12.692818,7.561617,0.7354801,149.6849,2.2150762,51.17249,8.371676,0.6232096,6.930278,]"
12,"[71.96533,1.3092132,86.6125,7.146454,0.32759428,30.000042,5.069251,94.022766,13.917475,0.89354646,8.01833,]"
13,"[145.78143,6.2933025,120.52374,12.165098,0.61967075,149.44687,6.1295137,76.703125,13.745233,0.6654635,7.9280105,]"
14,"[134.27968,5.0169473,131.38867,7.865116,0.979951,115.8176,4.25038,83.05788,11.712568,0.29547527,4.410816,]"
15,"[,53.972412,6.1767845,124.11783,5.989006,0.6903006,30.040985,6.999068,70.0638,8.396084,0.9313169,8.95863,]"
16,"[8.3651321e+01,6.9799209e+00,6.4050255e+01,1.2111102e+01,1.1314151e-01,1.4999599e+02,6.7827282e+00,9.0966484e+01,6.9616346e+00,8.8912553e-01,7.5076499e+00]"
17,"[,85.312645,2.2522333,84.96492,9.157914,0.9981474,106.94342,6.5947804,81.65801,7.983797,0.69079477,4.1669664,]"
18,"[,38.904335,1.255137,32.910316,5.5912046,0.3467452,149.99966,6.999739,51.86152,8.372634,0.21240523,8.166264,]"
19,"[111.57672,1.0025606,49.93391,6.201337,0.9881534,30.047909,4.3746233,58.772293,5.28179,0.851766,5.002686,]"
20,"[141.33963,1.6644318,28.290012,6.6760902,0.9404277,30.013794,1.0657623,40.365112,13.835759,0.9837743,4.018591,]"
21,"[1.4055225e+02,6.6557093e+00,6.7947060e+01,6.0788226e+00,9.7391158e-01,1.4998380e+02,6.9998474e+00,6.6670006e+01,1.4777460e+01,1.3556057e-01,8.8639364e+00]"
22,"[1.29306503e+02,1.82307124e+00,5.69189873e+01,5.88731289e+00,1.16420716e-01,3.06419296e+01,6.06669044e+00,4.94800186e+01,1.13529415e+01,9.66052711e-01,6.36963034e+00]"
23,"[44.45441,3.3962688,67.305756,7.29804,0.9569552,30.001034,4.9637713,97.65429,14.55486,0.20205927,8.498734,]"
24,"[135.62791,1.0895233,12.043388,14.197583,0.44332305,78.49946,5.809866,31.200233,13.267101,0.94833106,8.436004,]"
25,"[8.3646141e+01,1.7922137e+00,1.5546181e+01,7.5176144e+00,1.2625933e-01,1.4646284e+02,1.0172825e+00,3.1010361e+01,1.4198139e+01,2.3928857e-01,8.1794319e+00]"
26,"[,87.908424,4.1704516,115.53971,6.028994,0.7571253,149.01851,2.1555803,98.91558,12.788529,0.91047776,6.500354,]"
