episode,action
0,"[,83.436066,1.2229669,32.20227,12.628863,0.22610924,112.72427,3.0625489,83.124756,13.696047,0.48055556,6.243076,]"
1,"[63.910225,1.0073833,14.158028,7.3140535,0.9356482,67.95865,1.1953337,95.123665,13.279621,0.2960539,7.2087727]"
2,"[147.88182,2.3273194,22.942715,10.226136,0.48381114,114.32585,6.950963,39.61043,12.335367,0.2735937,4.2705,]"
3,"[,93.537254,1.0178933,26.673512,7.3818016,0.905084,149.97987,3.7266963,76.74761,8.187313,0.28597763,7.964233,]"
4,"[142.31671,1.0430365,13.921425,9.438995,0.98492813,109.193756,1.3351979,45.513336,14.539541,0.25532684,5.7633758,]"
5,"[46.469715,1.0475898,64.643295,5.7844477,0.2829863,61.743454,6.8357534,54.91532,14.727131,0.22683236,5.1284876,]"
6,"[114.9711,7.,76.87325,10.95425,0.12338436,34.338352,6.97861,59.618492,5.664449,0.29730394,8.316161,]"
7,"[,73.41073,4.161762,123.77301,8.956185,0.954069,55.25804,3.7668245,126.152954,5.9858,0.38640434,4.0582523,]"
8,"[142.34175,7.,43.78846,7.957826,0.86069053,149.99834,3.886363,34.038677,10.037673,0.3375497,8.146886,]"
9,"[,42.409645,1.35359,10.121948,11.618396,0.2909865,147.63477,6.85096,69.3383,8.040949,0.44883466,5.1183887,]"
10,"[149.18744,1.384193,23.213993,9.124062,0.37518555,123.4526,6.85956,32.407482,11.710849,0.47777787,6.621001,]"
11,"[132.01088,2.3092978,83.92579,14.317152,0.8931401,102.629776,6.104866,68.5534,5.2358394,0.2848489,4.208247,]"
12,"[142.79248,7.,113.69417,7.416239,0.6243196,107.58113,6.429393,57.745117,7.70433,0.38208348,5.8082447,]"
13,"[128.10052,1.0000029,28.433723,6.9817824,0.54224354,137.7631,5.6591372,70.81592,5.1295323,0.32782644,5.2269917,]"
14,"[,76.57161,1.0028303,12.0187,9.86904,0.96908385,149.52109,5.202635,95.81211,5.816557,0.40164763,8.230778,]"
15,"[,75.040306,5.594204,139.16309,12.088024,0.2228285,30.883495,1.8590431,37.791557,14.080659,0.4009623,8.540649,]"
16,"[5.7916180e+01,2.5764637e+00,7.5037888e+01,9.7916689e+00,1.4723599e-01,1.4872829e+02,5.4239693e+00,1.8508366e+01,6.6260719e+00,5.2661091e-01,8.2824669e+00]"
17,"[148.50978,6.9999294,18.968204,5.543601,0.3810788,104.91966,6.5074735,30.78109,5.2220006,0.46980518,5.415028,]"
18,"[147.96631,6.9991045,113.8183,6.410832,0.25263828,130.12708,4.4104447,85.77461,14.404095,0.46306747,4.6394243,]"
19,"[31.67633,1.0000074,14.75589,6.0414863,0.5639175,77.65387,4.5888953,24.491585,11.215971,0.5213451,6.3497734]"
20,"[106.150925,6.6160393,12.545555,8.435177,0.7809727,33.031303,6.9568844,106.764755,7.387369,0.42195827,4.1307216,]"
21,"[145.58716,1.0000517,108.346085,6.2492704,0.1655092,149.0167,6.1526523,16.538307,13.587675,0.36035848,8.114677,]"
22,"[141.04468,6.9999967,35.953964,8.29486,0.9001198,149.99991,6.0459323,50.27069,11.990542,0.42646912,4.9816656,]"
23,"[147.83344,4.4329443,10.030769,9.959122,0.61577404,86.55496,3.2840526,28.979858,14.955969,0.47651815,4.96712,]"
24,"[30.093185,1.,11.7703705,5.8214765,0.25738716,62.704926,6.8017287,25.320095,5.9141817,0.30462366,5.6115036,]"
25,"[140.91512,6.9999657,76.72201,11.81741,0.27045357,74.06324,6.6014833,60.43486,13.73131,0.36838523,6.082923,]"
26,"[1.4451932e+02,1.0422690e+00,2.0654446e+01,7.3382053e+00,1.0529640e-01,1.0422041e+02,6.2836294e+00,5.4981934e+01,5.7483263e+00,2.3478156e-01,4.1847420e+00]"
27,"[,34.135754,1.,16.28408,6.940905,0.5331918,149.90399,6.813468,54.4468,5.071417,0.3193553,4.001085,]"
28,"[,75.43498,2.1595848,10.057762,7.42893,0.32066932,150.,6.102536,51.998566,10.565197,0.31521094,8.978297,]"
29,"[,58.04375,1.0330687,107.82802,6.9189715,0.8035934,31.715145,6.688644,62.0754,6.2543535,0.33219147,5.9238,]"
30,"[149.35072,6.751522,63.163597,10.579201,0.8671439,149.86937,6.5955467,43.846752,5.1767387,0.26251322,4.8989964,]"
31,"[125.143776,6.985236,125.98192,9.552661,0.9740106,144.05956,3.9607322,45.894875,6.906844,0.50475603,6.5006804,]"
32,"[147.55162,6.997216,112.2077,5.615513,0.40133998,149.97232,6.791266,63.919563,10.096296,0.70345724,8.326503,]"
33,"[42.1698,1.0073366,46.790504,7.685629,0.66655636,46.220085,1.2650914,58.492058,10.116642,0.538963,7.777227,]"
34,"[,38.84541,6.6276193,21.486347,11.963939,0.378281,138.0852,6.4608245,88.595024,7.231535,0.2173357,4.7095213]"
35,"[147.23181,1.0004969,75.361046,10.725819,0.93915415,50.011,6.4491963,50.82622,7.5824394,0.29832104,6.139933,]"
36,"[149.305,1.0000057,11.898392,10.233785,0.9281348,149.09113,6.2443876,41.247128,14.538316,0.3001098,8.311177,]"
37,"[102.441055,1.3531706,52.30887,11.098259,0.22787163,55.33532,5.884619,91.310005,5.139573,0.60426474,5.8855333,]"
38,"[111.56732,1.1865549,10.135979,7.053565,0.6445981,147.19205,6.1054235,67.40587,14.445133,0.5876377,6.0010643]"
39,"[9.9434334e+01,6.9867425e+00,1.1407887e+02,8.9816437e+00,1.2276453e-01,1.4603142e+02,5.6322393e+00,6.1262325e+01,1.0673023e+01,4.9603683e-01,4.5608015e+00]"
40,"[143.90868,6.9941792,124.86249,12.503249,0.5682971,143.30908,2.336026,119.97582,5.0192313,0.31538868,8.21582,]"
41,"[144.08011,5.012596,10.65641,10.883077,0.71882474,66.07921,5.6239977,51.74279,14.821096,0.72094536,4.698393,]"
42,"[,30.401031,1.0000002,47.687664,5.761544,0.19674593,147.32767,2.0544617,20.248447,13.585369,0.43116155,8.03625,]"
43,"[131.09322,1.0000656,16.619873,6.23293,0.9824512,148.16118,1.9267833,67.596405,10.12483,0.49399966,7.0048695,]"
44,"[63.190456,1.8325725,24.940071,5.443091,0.28679022,31.281769,5.2250814,42.76798,5.4255576,0.5538911,6.989726,]"
45,"[,52.089035,6.992091,117.04283,11.974055,0.41307914,50.069233,4.374359,102.60152,7.2367277,0.452556,8.536905,]"
46,"[,32.41801,5.277489,100.918625,8.998671,0.39955556,53.29767,6.285457,13.986687,5.278048,0.20782235,5.8293333,]"
47,"[34.43312,4.7393756,12.868164,11.61851,0.9037444,81.568825,6.469596,70.230286,11.964791,0.6607705,4.247197,]"
48,"[147.54622,7.,13.210533,5.140524,0.69953877,137.19041,1.3216376,58.242867,5.1708384,0.4192607,6.793702,]"
49,"[148.23975,1.0000591,131.89336,7.002149,0.86044025,139.23149,5.630021,28.125961,6.5830097,0.3704771,7.9136877,]"
50,"[116.40929,1.1671202,123.27675,14.265727,0.17872149,82.58975,1.0424409,39.508587,6.921936,0.45893773,6.318572,]"
51,"[3.00000000e+01,7.00000000e+00,1.50000000e+02,1.50000000e+01,1.00000024e-01,3.00000000e+01,1.00000000e+00,1.49999634e+02,1.50000000e+01,1.00000000e+00,8.99998665e+00]"
52,"[3.00144348e+01,6.99997234e+00,1.49996887e+02,1.49708462e+01,1.00114405e-01,3.00003891e+01,1.00004840e+00,1.00000000e+01,1.49999428e+01,9.89521503e-01,8.98003006e+00]"
53,"[1.14922470e+02,6.71340895e+00,8.53420639e+01,5.00332117e+00,1.01350635e-01,3.73930435e+01,1.00066257e+00,1.00000000e+01,1.33830214e+01,1.00061059e-01,4.11753941e+00]"
54,"[6.7623299e+01,6.9999681e+00,1.2060164e+02,1.5000000e+01,1.0094023e-01,3.0000301e+01,1.0100749e+00,1.4999994e+02,1.4999304e+01,1.0000000e+00,4.0000000e+00]"
55,"[1.5000000e+02,1.0432639e+00,1.0000000e+01,5.0000029e+00,9.9999976e-01,1.5000000e+02,7.0000000e+00,1.0008133e+01,1.0935350e+01,1.0000053e-01,8.5218277e+00]"
56,"[149.66455,1.6805823,145.86684,14.999818,0.9649561,127.966,6.991457,139.48755,5.000144,1.,4.000012,]"
57,"[1.50000000e+02,6.69266987e+00,1.42941666e+01,1.50000000e+01,9.98776197e-01,3.00469284e+01,2.18295455e+00,1.00001526e+01,1.49394550e+01,1.00000024e-01,8.99998283e+00]"
58,"[146.40346,6.409066,10.,14.998125,0.87244046,80.91815,6.556614,141.23062,14.74775,0.98473144,8.89391,]"
59,"[,33.952614,1.7701268,104.08706,6.475935,0.807744,131.59598,4.631315,142.99667,11.946299,0.8684078,4.2929697]"
60,"[1.47844040e+02,1.03062510e+00,1.02002335e+01,5.01844597e+00,2.13939786e-01,1.24666626e+02,4.27926064e+00,1.09197693e+01,5.57433891e+00,1.00740701e-01,6.66933727e+00]"
61,"[,71.5642,1.4504972,43.45244,5.6753736,0.34371758,148.28098,6.890608,86.35163,6.890005,0.8464753,6.403725,]"
62,"[106.19111,4.8124213,37.256557,13.031002,0.26401705,124.018936,5.2202296,39.267616,7.287919,0.27640826,8.139055,]"
63,"[,38.398758,2.4605181,64.73214,12.0799675,0.31383908,70.3314,5.348324,126.45955,7.4102116,0.7677269,8.528898,]"
64,"[1.0602991e+02,6.6694603e+00,3.2013203e+01,1.3593519e+01,9.0270501e-01,1.2398236e+02,4.8216124e+00,1.2845123e+02,1.3167072e+01,1.0269517e-01,5.0904241e+00]"
65,"[129.84213,6.5741158,76.395515,13.918522,0.8602259,149.504,4.732511,11.17746,8.572063,0.62667125,8.795332,]"
66,"[133.57204,1.5894349,99.18904,14.921335,0.97175276,140.25433,4.585858,94.8003,6.3531017,0.18265432,6.268525,]"
67,"[102.48182,6.500498,26.905792,11.4706135,0.5577137,82.39381,2.859839,119.66962,14.6641245,0.35968667,8.137176,]"
68,"[,94.31074,2.9186492,92.8589,9.778781,0.13472149,34.848972,5.9980516,118.60466,13.247775,0.32544348,8.708485,]"
69,"[129.48499,3.409469,103.433174,10.31138,0.5277304,99.01352,6.3770237,17.829334,12.1139765,0.87888837,4.0601597,]"
70,"[,50.39202,5.77569,139.24974,5.3218775,0.98626965,145.37695,1.5497093,112.393524,5.4123273,0.2419999,7.673939,]"
71,"[,70.168594,4.424692,130.49326,12.479176,0.89181554,70.358444,3.9920318,133.06094,6.6753507,0.33827943,6.115755,]"
72,"[125.06964,3.2132611,95.5587,14.796061,0.23009592,46.51522,3.39871,115.678795,11.548323,0.13432384,7.0057297,]"
73,"[,30.707031,5.3209333,23.025791,13.915424,0.5621063,43.76829,5.515104,137.35759,8.325919,0.5792967,8.406809,]"
74,"[,43.354645,6.1150417,17.655937,14.667627,0.3183105,83.21671,3.7292247,120.17405,13.237953,0.69722605,7.113896,]"
75,"[124.45427,1.461968,11.086014,5.6349773,0.98849404,141.86024,6.455517,39.3662,7.370144,0.8878998,8.672432,]"
76,"[129.96567,1.4881983,108.796684,5.9722433,0.3955146,143.16823,5.39272,82.51073,7.1517587,0.21051854,7.2655807,]"
77,"[125.28691,6.475269,38.56801,7.098344,0.22631684,147.09457,3.1400037,46.69921,7.863414,0.47282422,8.037672,]"
78,"[1.02488907e+02,5.68487644e+00,9.17644730e+01,6.44695139e+00,1.45507276e-01,1.36480698e+02,4.82142973e+00,1.02507645e+02,1.26002073e+01,1.06036693e-01,7.88503695e+00]"
79,"[,50.586285,6.674217,40.408012,9.042957,0.7972081,118.83013,3.7597816,100.5772,7.3349524,0.82068413,4.6700563,]"
80,"[139.35693,2.5127676,147.81564,5.2334876,0.61013514,95.87377,1.251631,34.624413,14.090412,0.18166417,8.268349,]"
81,"[149.65523,3.8546638,95.44764,10.163864,0.98553634,145.96959,6.250544,116.72569,5.231509,0.95160836,8.466747,]"
82,"[,67.4597,2.9825644,50.649574,6.430632,0.14255124,71.03018,6.4198003,117.791794,6.0431676,0.13091153,6.1691504,]"
83,"[84.28405,6.03154,45.105537,8.478618,0.38340375,57.016205,6.273677,80.28076,6.2557936,0.981706,7.0698333,]"
84,"[,79.26007,6.293717,102.58162,14.673659,0.96764266,65.27707,2.2981696,137.85657,5.0932426,0.24899864,6.1535034,]"
85,"[,48.66337,3.411344,127.51373,11.989386,0.5531133,61.134144,2.1368914,51.274666,14.333499,0.22189698,4.2337546,]"
86,"[,50.373745,2.185564,130.73602,6.030782,0.74121374,148.99469,1.8919349,143.50467,13.666847,0.88875973,4.488432,]"
87,"[31.657024,1.6636305,99.726395,10.386093,0.3464886,36.994896,6.6260037,68.70674,8.128049,0.9953383,4.864221,]"
88,"[,42.453598,5.232708,146.59943,14.1553,0.31089228,146.99799,6.6311426,57.240356,10.78873,0.95601565,8.848042,]"
89,"[,73.21463,6.5356975,93.99807,11.64237,0.8056885,85.60013,2.4304657,137.029,6.0414314,0.6388069,5.6311045]"
90,"[146.6644,5.837205,102.98391,11.828916,0.31879407,97.73529,4.8601747,118.333244,8.256966,0.5668048,7.114153,]"
91,"[118.21185,3.0066018,16.95409,8.816608,0.9721232,43.5302,5.1786666,39.514145,6.139056,0.71570635,6.4055343,]"
92,"[1.18017349e+02,6.27105474e+00,1.36522247e+02,1.26459866e+01,4.09589857e-01,1.11938370e+02,2.20582604e+00,1.45862457e+02,9.05640697e+00,1.17271215e-01,6.37281418e+00]"
93,"[,48.852623,6.4378977,43.773438,9.030905,0.49710685,140.85141,1.9488659,26.145557,14.507415,0.82728374,4.1775637,]"
94,"[8.0274673e+01,6.5053263e+00,1.8117043e+01,5.1320724e+00,9.4451523e-01,1.4438635e+02,6.6313796e+00,1.2002899e+01,1.0676669e+01,1.2205574e-01,8.8530607e+00]"
95,"[109.56897,2.4395769,147.64737,10.771987,0.28807595,45.670662,6.8567095,70.43432,13.635496,0.5965233,6.4915957,]"
96,"[,53.386425,6.259323,28.475056,14.448516,0.38047194,104.5688,1.6813965,19.921131,14.8857155,0.21278405,7.348958,]"
97,"[132.30867,1.6190813,63.264946,8.412243,0.34571826,84.85282,1.4726615,21.968273,13.251642,0.17190588,6.411586,]"
98,"[108.93622,6.1387434,33.78537,11.449503,0.39629036,77.74937,1.6240258,138.05731,11.45106,0.84664947,4.366151,]"
99,"[53.230183,3.2088184,20.180573,7.3921537,0.22615954,36.735996,3.3139374,16.123898,5.5094037,0.12987235,7.168288,]"
100,"[145.10081,3.5054429,96.02842,12.955229,0.24802881,85.663635,6.5909576,65.81967,7.2504277,0.56777716,5.201894,]"
101,"[125.94632,2.5064,54.650925,9.945391,0.30773175,147.6917,3.7631524,112.07068,5.315541,0.7167595,4.9544687,]"
102,"[,64.99902,5.946818,78.4699,14.626581,0.19459376,96.338356,3.6254592,127.10588,5.784649,0.3798954,7.2995887,]"
103,"[,87.35152,2.1223063,110.82055,14.07243,0.6017704,136.298,3.7794068,40.715374,14.888595,0.7404549,8.619875,]"
104,"[,38.651024,6.7585964,127.44684,6.515539,0.5779156,130.8635,5.0754433,106.58322,10.444346,0.48761806,6.4356475,]"
105,"[,40.342377,2.760829,123.330765,14.971931,0.38902324,85.17447,3.6356282,138.33514,12.660518,0.7957354,4.121899,]"
106,"[145.7754,6.1493106,137.74521,14.616933,0.662333,46.042522,6.7590833,63.30622,5.825456,0.9857683,4.746302,]"
107,"[89.16513,6.0244093,41.386063,5.833355,0.44772205,44.657166,2.8263535,35.29935,9.581009,0.44400653,7.710779,]"
108,"[3.6846828e+01,6.0047493e+00,2.6966240e+01,7.2100406e+00,1.3110361e-01,1.4438527e+02,1.5013199e+00,1.2668306e+02,9.5187054e+00,3.9598656e-01,8.6199837e+00]"
109,"[,95.28454,1.4102945,25.178692,11.256373,0.82911944,48.984043,1.1664586,123.714645,10.43484,0.35665792,4.0831327,]"
110,"[45.37107,6.5429196,29.2869,5.1221013,0.13233826,60.90966,4.9520807,51.648834,12.785204,0.9206089,7.3408937,]"
111,"[102.46398,5.8063836,125.23883,5.7662115,0.2889647,31.128876,4.66253,122.08669,10.098725,0.9529298,6.791464,]"
112,"[118.0768,6.4795322,130.07321,5.4839616,0.35621512,147.42862,6.7959113,91.79971,10.725914,0.30606645,8.634331,]"
113,"[51.811264,1.7961535,15.135162,13.587942,0.9856385,41.07729,2.448018,83.621025,11.837078,0.74614435,4.348076,]"
114,"[113.02898,2.5486176,34.811737,7.0319376,0.8475273,148.0326,2.1933877,35.931885,10.264046,0.9219196,7.8693485]"
115,"[116.54483,4.9564066,67.79213,7.5232115,0.34486294,126.88342,2.666319,63.56515,8.743716,0.33770466,8.1950035,]"
116,"[,43.87892,4.813461,74.43198,11.904514,0.9095669,141.96564,2.0773358,13.626541,14.498123,0.7579928,7.265038,]"
