episode,action
0,"[,45.517845,1.17331,53.77866,14.998598,0.525182,111.3595,3.9703362,149.48007,6.2878914,0.6849961,6.9463425]"
1,"[60.579895,6.6109314,98.444496,14.957469,0.33438975,66.88475,5.262149,23.769882,12.560007,0.5025007,4.8929167,]"
2,"[119.34569,3.673277,26.396557,14.914129,0.9864049,92.00072,4.7157784,11.844772,5.0881386,0.66576827,8.997045,]"
3,"[,33.754322,5.544559,55.60813,14.894039,0.35217583,114.435,3.3193545,138.92911,5.102412,0.21900576,5.6593323,]"
4,"[,30.377075,5.540762,36.144966,7.2590976,0.5645306,128.28085,5.770692,20.534554,5.172562,0.42843175,6.9836736,]"
5,"[145.22379,1.881216,130.9539,14.789878,0.2421655,74.98624,3.5384834,64.00772,9.859303,0.60285705,8.4074955,]"
6,"[,91.10104,4.6030493,121.95865,14.518118,0.45702615,33.98064,4.6521373,19.009819,7.6468697,0.6470441,6.0695734,]"
7,"[115.64185,6.413865,107.62024,14.186503,0.48838538,116.724106,4.493727,10.114449,5.587478,0.5245395,8.802877,]"
8,"[132.04504,6.8917203,88.75703,11.786324,0.8933326,83.53575,6.542623,136.09247,6.877649,0.55401695,4.738637,]"
9,"[,43.55372,3.2404952,129.5201,14.952716,0.19225574,105.730034,5.827135,11.561798,11.199747,0.82510656,8.695327,]"
10,"[,34.01855,6.120096,60.367783,14.774914,0.9784826,43.854576,5.276125,125.2599,7.869855,0.5102964,7.521821,]"
11,"[134.36862,2.6633253,125.96333,13.38666,0.9914955,148.01743,6.229516,114.09325,6.771905,0.44812918,8.93265,]"
12,"[131.24666,1.4186146,55.80384,12.392843,0.5259784,132.43607,3.4789724,147.57236,8.774255,0.9140055,7.278775,]"
13,"[,36.503506,5.119743,23.496822,14.95072,0.73494065,130.10513,4.567478,149.19821,11.56199,0.5038083,6.215747,]"
14,"[,57.238377,3.2959833,61.07287,14.923184,0.60925585,120.580444,4.977631,149.99237,12.021892,0.48979673,4.2631574,]"
15,"[5.34401093e+01,6.95844173e+00,1.27782585e+02,1.49999905e+01,1.07738078e-01,1.26253448e+02,6.01944447e+00,1.00520554e+01,5.31821346e+00,4.76004899e-01,5.27712679e+00]"
16,"[132.56271,5.381436,109.789375,14.971628,0.9408603,51.993362,5.9952393,34.778664,11.677268,0.5140584,6.885869,]"
17,"[,59.337807,2.641805,145.41284,8.315353,0.72217715,130.01506,5.9733377,91.16103,11.449637,0.39079738,6.90751,]"
18,"[,92.95528,2.0889072,102.01054,14.394512,0.26415762,118.20801,5.253761,146.6912,13.476284,0.49009454,5.142901,]"
19,"[107.3142,4.257032,129.73111,14.955923,0.1513038,59.149727,5.431037,149.8805,8.790161,0.8489081,8.988764,]"
20,"[76.99014,6.5997963,76.86768,13.578734,0.8055531,74.86165,3.3362713,91.29686,11.053547,0.5787358,7.8744435]"
21,"[,34.248814,1.6734781,85.46396,8.4275,0.26322573,129.45374,4.92394,136.50089,6.749635,0.4607971,4.8616986,]"
22,"[,30.702126,5.7379184,114.65657,14.998127,0.2529313,142.50662,5.6522837,102.60097,13.120159,0.6561369,8.911972,]"
23,"[44.998947,1.1216047,22.793274,14.45437,0.10163182,84.767525,4.1012025,52.10237,6.156952,0.5692811,4.1111097,]"
24,"[111.4718,6.7691164,142.38913,14.999367,0.53415006,138.13075,6.0846996,149.86696,14.906664,0.8667835,8.98184,]"
25,"[8.29305344e+01,3.43804836e+00,1.41508301e+02,1.48023615e+01,1.24714524e-01,1.06236755e+02,3.33914804e+00,1.60813904e+01,5.35208941e+00,3.32452714e-01,5.14739132e+00]"
26,"[148.20418,5.4132776,80.95303,14.999641,0.75431836,80.82139,4.4110866,16.493633,8.3593855,0.5971082,8.70652,]"
27,"[,83.347565,2.5937204,122.60837,8.547449,0.95919514,107.52434,5.305021,33.92926,12.395805,0.8173288,7.375661,]"
28,"[,30.198383,6.266777,60.685524,14.873531,0.41098788,148.73172,3.210636,144.50624,14.15336,0.89100033,4.7803583,]"
29,"[,30.077469,1.6547008,145.30931,14.791664,0.7399381,148.08565,5.631914,134.38312,6.560352,0.4893685,6.8309007]"
30,"[129.5864,4.074873,74.40016,14.950324,0.20248562,90.57363,5.642756,149.15637,14.681625,0.40631866,4.6803436,]"
