episode,action
0,"[6.5433517e+01,6.5765924e+00,1.4515259e+02,5.0001726e+00,1.0496062e-01,8.7573792e+01,5.5565624e+00,3.1469650e+01,1.2424503e+01,5.2565467e-01,6.2001262e+00]"
1,"[126.13315,6.3434258,132.23413,14.969162,0.29567266,145.62013,6.756898,94.10866,11.306177,0.32501838,8.390398,]"
2,"[148.18365,6.4122796,61.358788,14.829134,0.90266347,148.60965,5.3887177,147.555,13.992725,0.6762168,4.0885887,]"
3,"[,52.29221,6.370654,100.59535,5.,0.9889315,52.196075,6.999765,26.589859,9.180998,0.5023595,4.6361213]"
4,"[130.91632,6.6826496,107.33006,5.5169983,0.99991035,85.943565,1.0226331,132.01474,13.143976,0.3842591,8.998113,]"
5,"[44.599865,4.9613814,88.74705,5.1138077,0.1584208,70.254875,6.8811564,12.642525,14.990797,0.16970441,4.0208564,]"
6,"[,32.22204,6.406294,136.69423,14.86226,0.14483652,94.41124,7.,115.053505,7.918154,0.5075768,4.0228047,]"
7,"[,35.587963,6.6019535,141.11313,5.,0.99015903,31.607056,2.0670722,25.863308,5.7692194,0.25176874,4.0026374,]"
8,"[,94.737755,6.7668576,140.1423,14.545515,0.49209666,55.986656,6.998203,10.76297,5.116957,0.21867344,4.040203,]"
9,"[124.60495,6.970714,136.51157,5.1754055,0.9339471,34.613934,1.0001473,36.53297,9.175268,0.43660545,4.1210995,]"
10,"[4.16925392e+01,6.78294086e+00,1.48044189e+02,5.26793432e+00,1.00006044e-01,7.31092682e+01,2.95373011e+00,1.41391800e+02,1.47712784e+01,1.62731498e-01,9.00000000e+00]"
11,"[138.57832,6.3979554,144.57166,14.857395,0.22777,53.515175,6.2645693,67.78659,6.3719277,0.2801055,8.051168,]"
12,"[147.79756,2.5492344,142.66248,11.405787,0.87585074,56.12167,5.4590225,141.38498,13.304919,0.38720334,4.126684,]"
13,"[8.3234543e+01,6.7368493e+00,1.3914586e+02,1.4988880e+01,1.1631307e-01,3.3745312e+01,1.0003867e+00,4.1837864e+01,1.4200590e+01,6.3256735e-01,5.6262684e+00]"
14,"[,45.554512,6.5004115,137.91321,14.999979,0.16740784,51.23481,7.,131.53981,10.423238,0.27840436,8.999994,]"
15,"[,92.948,2.7476208,106.70612,14.98966,0.2164374,42.04265,6.366455,30.629501,6.890735,0.7318597,7.7426443]"
16,"[115.77034,3.374962,110.555374,5.549701,0.2726419,148.45612,1.3341832,24.038315,7.9469013,0.82298625,8.986772,]"
17,"[118.34372,2.0924308,144.41003,9.724876,0.6503093,90.22838,2.30026,13.488632,5.9675865,0.5214126,4.093562,]"
18,"[,37.69311,6.7226033,136.87704,15.,0.9992116,34.297604,6.999872,22.174397,5.2586694,0.43604475,8.990023,]"
19,"[1.4135518e+02,4.5507436e+00,4.3699032e+01,5.2913761e+00,1.0443112e-01,3.8830761e+01,6.9482098e+00,5.8455452e+01,1.1249312e+01,5.8338934e-01,5.4656825e+00]"
20,"[50.89853,6.8747325,59.81827,14.999561,0.3308494,35.848343,6.961628,20.372139,12.127855,0.6618721,4.6392164]"
21,"[4.2397079e+01,5.7915850e+00,1.3092204e+02,1.4992270e+01,1.0228425e-01,8.6824745e+01,6.1760440e+00,1.9338940e+01,1.4447993e+01,3.8549697e-01,6.9949102e+00]"
22,"[5.6730274e+01,6.8852663e+00,1.2552452e+02,5.0669045e+00,1.0181418e-01,9.6598473e+01,1.0004275e+00,1.1088477e+02,8.9417620e+00,6.1799681e-01,4.1853361e+00]"
23,"[6.9307365e+01,4.6982307e+00,1.4482339e+02,1.4999998e+01,1.1984062e-01,9.8168800e+01,1.0000000e+00,1.4997580e+02,7.9095120e+00,2.3287976e-01,4.2205706e+00]"
24,"[4.84987717e+01,6.98839808e+00,1.46978180e+02,5.00258017e+00,1.00000024e-01,6.58807831e+01,1.00000000e+00,1.00175171e+01,1.47214012e+01,1.25398308e-01,8.98121452e+00]"
25,"[101.195946,6.2774014,126.21167,5.311607,0.18449083,113.968506,5.2206545,100.04089,5.219578,0.358208,4.00289,]"
26,"[,71.38019,6.8008423,146.68225,5.0000005,0.9987691,39.22331,5.5860543,11.786758,9.941018,0.39268363,4.0064473,]"
