episode,action
0,"[3.8150593e+01,1.3891299e+00,1.0106171e+01,5.0013156e+00,1.2536287e-01,1.3408421e+02,6.9909348e+00,4.8154594e+01,7.9688611e+00,9.4468284e-01,7.7911263e+00]"
1,"[3.6340454e+01,4.4569292e+00,1.0747987e+02,5.0454793e+00,1.0096580e-01,5.4862209e+01,5.7898426e+00,5.9834244e+01,9.0056515e+00,7.6644808e-01,7.2463522e+00]"
2,"[39.957577,4.230856,12.313393,10.369461,0.99417067,64.93354,1.0150359,48.919464,13.076339,0.5143684,5.124754,]"
3,"[116.904625,4.134927,10.000259,13.965682,0.9716214,35.686535,1.0002642,54.016945,6.3248825,0.7387997,6.3309536]"
4,"[,68.983246,6.3043213,39.47923,12.615623,0.9688573,33.415344,1.6415598,142.53326,7.4690113,0.3016137,7.6741424]"
5,"[,33.070103,6.805154,108.513596,9.001289,0.20760861,83.8125,6.2328777,74.75523,8.646701,0.8313321,7.957894,]"
6,"[,90.00321,3.392117,58.772316,14.612284,0.92202705,117.04565,1.0158095,12.829681,7.8923607,0.9523703,8.202204,]"
7,"[129.68666,6.9152946,148.5508,6.121373,0.42948487,33.407543,1.0106971,123.98532,8.929104,0.45463768,7.1289744,]"
8,"[,54.401928,1.2439115,145.90541,14.936305,0.7742169,72.038124,5.6457977,56.098564,13.61988,0.1622836,8.023907,]"
9,"[,33.542313,6.645026,16.450485,5.7895136,0.9979865,83.64228,6.831455,100.67176,11.116777,0.9240137,4.907465,]"
10,"[89.61769,4.6078625,15.474197,14.642729,0.9526262,75.05397,6.272031,27.005875,8.639598,0.2125633,8.122391,]"
11,"[,84.619415,2.7186365,112.924545,14.566963,0.99757904,82.79347,1.1759043,35.939972,6.1486387,0.6678013,5.3693824,]"
12,"[125.827576,1.338002,32.20201,13.945139,0.9131481,48.437103,1.0929377,118.974174,6.1827264,0.85686207,6.1902313,]"
13,"[136.08441,1.3524656,10.157356,5.2397246,0.9902795,95.23544,6.9955564,83.56242,7.2070827,0.9983964,6.8428407]"
14,"[136.73534,1.0226531,48.20372,10.780048,0.18719977,56.376976,1.0105548,138.75636,7.5134783,0.8850041,8.285272,]"
15,"[,65.38721,2.0719185,146.90112,13.006239,0.47703096,31.687702,6.999911,81.46668,12.004988,0.99652624,7.938406,]"
16,"[,69.48725,1.1353788,115.4756,14.969229,0.4357959,121.61099,3.3385003,115.17478,10.6663475,0.72161484,8.71084,]"
17,"[8.9316666e+01,5.1503792e+00,7.2800011e+01,8.5224419e+00,1.2559491e-01,1.3858638e+02,1.0039072e+00,4.7518894e+01,6.1792507e+00,8.1389511e-01,7.1071792e+00]"
18,"[119.60404,1.1537719,93.23484,6.4979105,0.9533135,93.8672,3.8463128,108.04263,11.621687,0.16956863,5.356655,]"
19,"[30.202076,6.3640904,34.60523,5.856908,0.8907973,35.193256,1.8453641,31.246098,8.751298,0.949703,6.083882,]"
20,"[65.54618,1.8318853,39.54463,14.864517,0.10336307,88.00789,2.4737263,73.8683,6.470663,0.4655187,5.027178,]"
21,"[,83.91244,6.1173816,31.818832,9.39777,0.9564204,90.307884,6.999882,137.32375,6.422315,0.9933969,6.2722774]"
22,"[,40.67368,5.9808784,147.63113,6.876334,0.95841634,32.42417,3.487132,108.522125,9.507067,0.8692521,8.218813,]"
23,"[55.02285,2.0715513,17.797112,9.386005,0.10638919,93.78373,4.759911,41.075047,12.258417,0.86120343,5.01346,]"
24,"[100.96656,5.5362864,31.640514,14.10605,0.4080941,144.60025,4.8301973,60.014923,8.427394,0.9252105,7.577103,]"
25,"[30.826511,1.221441,10.96859,7.120958,0.30174693,45.96733,2.7412653,32.330944,7.0650587,0.7497224,6.225914,]"
26,"[,87.15833,6.6091843,149.27777,5.534303,0.99941206,70.12906,5.232493,116.3218,10.8776455,0.99318326,5.508169,]"
27,"[,72.91122,4.094618,73.11548,5.295479,0.9250763,119.92453,6.5514803,128.71347,6.6836376,0.99208796,4.8088026,]"
28,"[,69.0589,1.8686874,10.142548,11.015313,0.99575555,129.27155,2.9588592,11.746559,9.503961,0.6775648,6.6072617,]"
29,"[31.605404,4.530504,12.063789,5.9095745,0.16417792,50.80794,1.4483585,46.32313,9.165243,0.65144694,5.7570453,]"
30,"[34.976143,4.0764527,73.90933,11.096171,0.62657225,68.389404,6.7091093,56.395332,10.273113,0.908103,6.3184204,]"
31,"[134.18507,6.574917,48.629417,9.628795,0.999619,45.73919,6.999901,42.490917,9.358252,0.6119667,7.7884884]"
32,"[80.56548,4.665062,10.759949,12.193897,0.8721975,74.37244,6.762188,65.44882,12.3734665,0.31805187,5.972939,]"
33,"[35.12897,4.0044312,39.040157,9.724256,0.99523735,32.419365,4.140517,47.199814,6.751379,0.12534702,5.842609,]"
34,"[,30.63538,3.2281618,116.2663,14.761576,0.29300585,85.623184,2.6907003,113.61012,7.95761,0.89107215,6.5149255,]"
35,"[1.00905785e+02,2.70010996e+00,1.39448914e+02,1.31911478e+01,7.27918208e-01,3.50621872e+01,1.00201154e+00,1.15542603e+01,7.14274788e+00,1.30472153e-01,5.62761021e+00]"
36,"[130.05737,2.3726144,149.69075,7.352129,0.8179108,47.966026,6.975854,44.470596,8.015595,0.5011689,5.56618,]"
37,"[130.28418,4.0265827,141.99738,14.882256,0.91540945,38.3157,6.9553237,109.06539,11.844679,0.30447674,5.1930866,]"
38,"[1.3298477e+02,1.9096293e+00,1.4997516e+02,6.6152716e+00,1.3103786e-01,7.2204315e+01,1.0056067e+00,3.4245255e+01,7.5684848e+00,1.3383850e-01,6.8815536e+00]"
39,"[106.44519,4.668686,19.696377,14.807523,0.67810595,34.10036,1.0090985,27.585163,5.9794197,0.9685881,6.257535,]"
40,"[8.17997818e+01,6.16466999e+00,1.47330536e+02,1.46577015e+01,1.15579337e-01,5.06739578e+01,3.45356321e+00,1.21764877e+02,6.82699442e+00,2.05009758e-01,7.32335901e+00]"
41,"[126.22352,5.2778916,15.156311,13.145622,0.17534539,131.32236,1.4041212,141.0182,13.908216,0.61005735,8.584488,]"
42,"[,36.689533,3.8274078,10.004463,14.049583,0.17227146,132.77411,1.0315745,25.250694,7.5859814,0.42315686,8.383525,]"
43,"[80.38343,2.038835,43.62685,14.311466,0.60445976,94.287155,5.683367,48.44231,6.305354,0.70984656,4.6576166,]"
44,"[55.0799,3.3587706,13.261818,11.685294,0.9986913,47.708443,1.0555732,60.944942,6.8473606,0.26846588,6.171485,]"
45,"[1.0406083e+02,4.1612568e+00,5.3960781e+01,5.3181987e+00,1.0169050e-01,4.0525440e+01,1.0007122e+00,6.9564117e+01,6.4800134e+00,4.4134027e-01,6.8519092e+00]"
46,"[63.90357,5.45147,54.377365,9.543003,0.7830649,50.571377,1.0128512,69.24173,7.19623,0.47562355,7.816919,]"
47,"[84.33357,6.5402837,48.844627,10.46299,0.15676886,45.01863,1.128721,47.706646,5.3243523,0.67883223,5.0861697,]"
48,"[56.55098,2.8432517,10.01506,14.782373,0.11047873,35.70233,2.3507683,62.249714,6.42086,0.2643867,7.3412075,]"
49,"[37.334587,1.0422101,26.503517,10.803935,0.2999165,32.297024,5.8335114,21.125885,9.122549,0.79345655,5.3165894,]"
50,"[,30.429237,5.7934017,143.94727,14.487307,0.99257874,72.49639,2.1024587,33.904446,7.726568,0.4209097,8.137876,]"
51,"[1.3922302e+02,1.0058827e+00,1.0078926e+01,5.1336765e+00,2.3918340e-01,3.0688091e+01,6.9960299e+00,1.3143417e+01,1.4975288e+01,1.0049233e-01,4.0559044e+00]"
52,"[1.50000000e+02,1.00000000e+00,1.00000000e+01,5.00000000e+00,1.00000024e-01,1.32714508e+02,7.00000000e+00,1.49999588e+02,1.50000000e+01,1.00000024e-01,9.00000000e+00]"
53,"[107.09198,2.242653,19.806648,10.056212,0.3011289,57.545864,6.6717534,22.560158,5.00041,0.12429234,9.,]"
54,"[,85.38248,1.8569732,93.015396,8.88645,0.68026114,30.,5.2320824,149.98972,5.353479,0.41642937,8.99568,]"
55,"[,51.608665,1.2358406,111.79108,13.219414,0.7301804,149.99171,2.5551023,13.548485,5.0005345,0.89426553,5.3193636,]"
56,"[1.1118216e+02,5.9394383e+00,6.1397892e+01,1.1181326e+01,8.3459508e-01,8.3463837e+01,1.7200365e+00,1.4999481e+02,5.0000005e+00,1.3626325e-01,4.0000000e+00]"
57,"[121.4996,6.5635805,140.82098,14.139898,0.34141135,31.143402,6.4727616,133.31183,14.20277,0.31691116,4.010167,]"
58,"[116.63966,6.43988,113.94565,10.765296,0.33886826,118.993645,1.153652,14.696739,8.920386,0.77785134,5.279578,]"
59,"[125.27226,6.8448706,94.08031,8.51333,0.2352185,37.713238,4.0354333,75.20243,13.817148,0.17223471,6.630975,]"
60,"[112.10707,2.7189937,90.33147,6.217148,0.1674439,31.015018,5.493805,20.692127,7.3411236,0.3163417,6.5046053]"
61,"[145.25888,5.494955,129.0708,14.608974,0.16673306,43.601383,1.176589,58.436073,13.1813545,0.38948375,5.582791,]"
62,"[,75.8811,5.0588465,82.3032,12.842136,0.6822479,96.378914,1.0286226,113.1846,10.767067,0.33306056,6.904831,]"
63,"[,94.76713,4.87027,21.39204,9.033905,0.8858105,135.28827,6.2567244,28.597336,5.2040467,0.45556417,6.0935845,]"
64,"[94.64388,4.7821207,21.941696,5.118129,0.9332875,41.396282,6.2931848,18.403358,14.6923485,0.26593032,8.513928,]"
65,"[,93.82229,6.167391,69.97685,9.632745,0.9748895,60.479828,6.450353,147.69708,9.55941,0.32922524,8.995604,]"
66,"[,76.63985,3.6729116,107.4156,13.648644,0.64872336,148.61938,3.9625313,96.20591,9.917481,0.81819534,4.802137,]"
67,"[,82.32708,1.3530717,127.54675,9.8742895,0.44641662,108.821655,6.5493226,31.086605,11.19994,0.98046184,4.074292,]"
68,"[,69.418106,2.984652,103.73834,12.000761,0.36406583,86.24058,5.132303,18.958317,10.709464,0.19469446,8.56193,]"
69,"[,84.666504,4.677205,132.61694,8.953704,0.912869,140.00291,2.6804023,38.882397,6.308058,0.63787585,4.467197,]"
70,"[32.206482,6.7132354,98.004456,12.839331,0.44262624,63.814835,5.600187,74.061516,13.723566,0.5819906,8.005911,]"
71,"[70.5971,3.6268625,25.050629,12.937189,0.9477321,52.95419,6.272833,82.92138,10.916095,0.50211453,7.0841293,]"
72,"[1.46107697e+02,4.60540056e+00,1.41412048e+02,8.92690372e+00,1.36014998e-01,8.18062820e+01,1.91068816e+00,1.24156006e+02,8.26618671e+00,5.56805789e-01,4.12415218e+00]"
73,"[131.00209,3.7463439,69.579155,11.408155,0.92121494,145.16628,2.9834342,27.996967,6.24901,0.73054636,8.515044,]"
74,"[115.178925,2.0671356,97.22954,13.090355,0.5737496,38.51941,1.0091896,101.9561,6.1480813,0.3654552,4.4083595]"
75,"[114.84151,2.0861754,115.08507,13.2596245,0.4731809,145.41286,2.7825146,143.78659,12.352081,0.5542306,8.076012,]"
76,"[147.51947,2.265123,22.186825,9.54931,0.9818735,40.091747,4.0247316,78.48474,12.679544,0.50267035,5.202066,]"
77,"[,49.18928,2.1889982,106.64367,13.613445,0.5342562,31.806595,6.89189,42.99556,8.205399,0.24177441,8.425137,]"
78,"[116.03535,6.6985064,122.18869,8.159276,0.6319406,32.511196,4.026976,133.96835,12.097505,0.8344892,8.535777,]"
79,"[63.852684,6.6485286,90.17317,8.826748,0.66258234,87.21054,2.0377817,37.46085,8.508944,0.5468693,5.3949738,]"
80,"[,43.912834,1.5546529,68.59809,6.9296193,0.25199416,147.49669,1.2050867,108.24518,11.250505,0.37890685,6.9405804,]"
81,"[3.77694664e+01,1.54599285e+00,1.13046051e+02,5.65744543e+00,1.03817135e-01,6.20355377e+01,2.66487241e+00,5.43852539e+01,9.14710045e+00,9.95174289e-01,6.24898148e+00]"
82,"[,93.85519,2.5538788,23.13393,14.368408,0.98241436,139.80502,1.4059215,117.226585,13.529812,0.42801803,4.9406734,]"
83,"[110.92183,6.306633,143.49219,5.072014,0.61931676,82.60541,2.079567,37.83948,7.966582,0.91178,4.842932,]"
84,"[,93.009384,1.9829507,51.60662,8.445054,0.39142054,99.8978,5.252547,131.86516,8.011974,0.44157165,4.5729675,]"
85,"[138.13084,1.4110293,54.79502,12.756971,0.41048515,69.227325,3.7654855,25.682796,11.912313,0.3040623,4.678153,]"
86,"[,81.471344,5.4728527,105.0484,5.94013,0.97606343,78.56298,3.2488966,15.892052,5.9314456,0.84239674,4.1514482,]"
87,"[128.42926,1.5275459,142.96404,13.453173,0.88182175,139.45117,2.4071908,84.09277,13.67079,0.39999983,5.2854795,]"
88,"[,68.539536,6.05267,52.4838,12.082655,0.44934154,121.57466,1.5105519,147.08984,6.5517592,0.987175,4.8993535,]"
89,"[1.2950186e+02,5.2423406e+00,1.4291092e+02,1.1141548e+01,1.4243257e-01,9.7492592e+01,5.9107189e+00,1.6308929e+01,1.4262739e+01,2.7145457e-01,4.6912298e+00]"
90,"[,33.06961,4.9051576,24.870476,14.722047,0.99533397,144.32784,5.4622993,119.770706,14.751753,0.68429047,7.0335703,]"
91,"[,96.84347,1.8792429,68.02666,6.9941416,0.6288841,143.82477,2.4448988,61.282352,12.319717,0.5260721,6.8121786]"
92,"[,60.12063,5.933755,134.29567,6.284048,0.88480383,34.993896,4.491424,52.572777,5.8886666,0.41524392,4.7652574,]"
93,"[,43.42607,6.0948467,113.78917,8.967983,0.96049297,69.72513,6.102465,22.24858,10.256602,0.50045526,4.1402273,]"
94,"[38.320095,5.079108,40.461742,14.323134,0.16078678,38.016514,2.2019057,63.699993,10.682279,0.20845279,5.661148,]"
95,"[,42.750988,5.2427263,58.847065,10.07401,0.89519763,111.28235,5.3157353,128.45464,12.791393,0.30748928,8.719017,]"
96,"[148.81242,3.057776,69.748146,5.8136444,0.8574594,65.81511,2.1014104,48.443764,12.273415,0.33176506,5.8097878,]"
97,"[106.12311,6.405858,13.118752,6.0248327,0.6824521,35.66942,1.8667088,133.13335,12.705931,0.4706533,6.243054,]"
98,"[116.18721,1.144947,14.552292,14.15156,0.43780836,129.64828,2.4136782,52.66188,9.034212,0.9132037,8.515487,]"
99,"[111.49597,2.8590393,134.00038,9.067303,0.26508498,44.88844,5.614922,140.85431,14.845504,0.14178255,5.572379,]"
100,"[,53.588287,2.3406718,67.708664,9.175158,0.5900814,44.990128,6.062305,110.17846,12.227558,0.9672542,8.48571,]"
101,"[134.09944,3.208595,37.35035,14.029959,0.47891998,47.414833,4.706531,29.77089,10.816159,0.61964566,6.6337867,]"
102,"[,39.03669,2.8718464,119.008766,14.038673,0.6180394,45.676083,2.0740612,147.70035,10.691711,0.7109963,7.609541,]"
