episode,action
0,"[119.745926,6.41941,93.43428,5.018556,0.6757449,133.492,4.5774317,82.18403,7.1025944,0.81089467,4.801768,]"
1,"[8.80062637e+01,1.20475435e+00,1.48828186e+02,5.24890614e+00,8.00082922e-01,3.91115952e+01,6.60733557e+00,1.12201309e+01,5.64533377e+00,1.12216085e-01,5.19066763e+00]"
2,"[142.50938,4.6115837,140.7095,5.007235,0.49908954,36.965385,1.0040679,50.475304,5.976692,0.99971163,4.5029554,]"
3,"[31.251736,2.6771908,61.68148,5.000804,0.33164513,34.002644,6.2343454,10.005371,5.0244875,0.36622685,5.1275034,]"
4,"[49.795036,1.9209771,79.41908,6.2696815,0.7102647,32.16492,6.480257,13.126167,14.032673,0.34936267,6.6341534,]"
5,"[,72.84542,1.0059206,110.65741,5.8393517,0.31552845,57.14788,3.0179396,133.7796,12.905731,0.19184932,4.8613367,]"
6,"[4.5165874e+01,1.0822079e+00,7.9394112e+01,9.3805218e+00,6.5408075e-01,1.4660159e+02,1.4629314e+00,1.3647041e+01,5.0042219e+00,1.2163773e-01,4.4595013e+00]"
7,"[148.66318,1.0257888,139.70697,5.0000033,0.6385064,31.70021,1.0866156,147.15384,5.0000014,0.1683582,5.186286,]"
8,"[146.48727,6.4890366,126.52867,10.283909,0.8164134,87.86313,1.601901,149.99968,5.002574,0.22677365,4.9031653,]"
9,"[,61.828186,1.3468082,122.152054,5.120103,0.8374299,52.377483,3.2403064,103.99475,10.023636,0.12955108,6.3420806,]"
10,"[,31.01952,6.9280005,137.23277,5.717638,0.93711627,32.527863,1.7072535,28.942226,5.0360465,0.92998624,5.126399,]"
11,"[102.9901,2.964427,138.49004,13.986116,0.8651803,34.00243,2.8027294,26.101849,10.293435,0.8426466,5.7636824]"
12,"[135.15544,6.601078,78.42248,11.064603,0.8207333,66.429245,1.3710709,30.760868,5.1049843,0.86701304,7.006441,]"
13,"[100.25663,5.840625,41.32106,5.0530257,0.9735122,73.55692,1.3942692,140.72174,7.9666133,0.62580323,6.5974436,]"
14,"[142.95282,1.9002616,98.39381,5.130123,0.84033644,122.9763,2.4310825,41.963512,8.047591,0.9486028,4.545719,]"
15,"[63.387062,5.5517616,20.134686,9.496295,0.79936635,51.108013,3.1990342,51.14235,5.1147017,0.10059944,7.0927167,]"
16,"[9.6022758e+01,1.6693952e+00,1.2976779e+02,6.6450758e+00,9.2319846e-01,3.9205399e+01,1.0821204e+00,2.1407818e+01,1.4033310e+01,1.0466111e-01,7.4685054e+00]"
17,"[128.65785,1.0210145,137.19348,13.152487,0.97725385,136.27975,1.0032961,10.426613,5.2655487,0.70780414,4.3705206,]"
18,"[108.22365,5.694648,105.84639,5.001439,0.8459041,37.455994,1.1500971,10.003098,5.0082927,0.38621187,4.3196836,]"
19,"[,86.56177,6.9992085,146.573,5.000395,0.7911768,88.77699,1.3134384,22.419369,7.2680435,0.9975388,5.2629642]"
20,"[35.605556,5.831277,42.24131,5.00022,0.6288325,46.343433,1.0055137,11.941971,5.7692556,0.11131158,5.915971,]"
21,"[118.47324,5.1440783,131.42822,5.73663,0.98063976,35.970093,1.1309109,77.77427,5.372115,0.40742394,6.675765,]"
22,"[,49.62259,1.23891,30.273018,9.167643,0.48046064,47.070328,1.0005817,100.24304,8.97838,0.2702482,7.4081573,]"
23,"[52.798813,6.8602114,48.779724,14.746025,0.8235124,46.825275,1.5375764,53.387203,5.056673,0.86269623,4.731635,]"
24,"[1.4483777e+02,6.9833012e+00,1.1549438e+02,1.1813737e+01,6.3671017e-01,4.3039413e+01,1.7326589e+00,1.4986618e+02,5.0333514e+00,1.3483006e-01,4.8765893e+00]"
25,"[106.04208,6.197115,22.19614,9.726826,0.50385904,55.916527,1.0763397,88.52073,6.542182,0.11007386,5.8090925,]"
26,"[,94.52407,6.808082,38.017403,5.737332,0.52306163,62.83383,4.6460214,149.78835,5.01433,0.74072635,5.505911,]"
27,"[,50.305397,1.437175,52.15493,5.041033,0.787565,115.87745,1.5921667,137.2888,5.10811,0.76944697,4.919879,]"
28,"[141.33717,1.0568714,148.27718,5.0484085,0.8272567,92.19055,1.4919655,149.6335,14.021249,0.9997723,4.761268,]"
29,"[146.86902,6.9999075,140.04445,5.077005,0.875285,31.780079,1.8716726,29.48439,5.0141473,0.9840566,5.206547,]"
30,"[132.39151,1.7278681,95.9561,5.011999,0.61160535,32.063976,5.424066,87.257095,5.464174,0.83287376,5.2119665,]"
31,"[122.41055,4.5144157,39.05657,14.9083805,0.40644386,138.82812,1.1933246,16.277897,7.7323837,0.24989545,4.2679386,]"
32,"[117.73684,1.4357169,23.493103,5.0907645,0.28535238,37.461525,1.2639792,145.11456,11.828464,0.46923155,7.039884,]"
33,"[5.3000671e+01,6.9759922e+00,1.4728745e+02,1.4999134e+01,6.4768189e-01,3.9056519e+01,1.2918520e+00,1.4860004e+02,1.0179354e+01,1.2918377e-01,5.5822563e+00]"
34,"[,64.95507,1.1779389,112.685394,5.0275044,0.9224968,120.06057,1.037617,18.445992,8.750092,0.9125875,7.299867,]"
35,"[106.165985,6.026256,141.73227,5.0018916,0.1534588,74.22852,4.3074164,147.96136,5.725903,0.49279433,7.9609556,]"
36,"[,57.59653,6.8620234,147.4344,8.106039,0.91196644,40.573193,1.0083508,37.03883,6.5378904,0.32706916,5.4725404,]"
37,"[,71.207504,1.2218547,147.60358,12.768333,0.3913883,44.51259,1.122405,44.06783,5.4536176,0.25302374,6.4698133,]"
38,"[108.38687,1.1582916,142.76292,5.03868,0.7168366,104.96193,1.7153811,46.165573,5.0024576,0.97026896,7.13783,]"
39,"[147.13776,3.7464328,40.980007,11.688454,0.42400464,35.340206,5.1036015,148.49765,13.203447,0.1537871,5.8688364,]"
40,"[1.4894164e+02,1.0109942e+00,1.4573145e+02,1.4969177e+01,9.6103084e-01,1.0565921e+02,4.0717483e+00,2.3464703e+01,8.7122593e+00,1.4533997e-01,8.6772137e+00]"
41,"[149.34439,1.8412852,105.89514,6.4808364,0.96786535,51.64467,6.126096,118.024536,11.406145,0.6569721,4.4362783,]"
42,"[,79.752884,3.8433414,103.38744,6.3128204,0.6795223,74.65249,4.433039,127.11588,5.004463,0.14122614,5.3314176,]"
43,"[3.90060005e+01,1.40666914e+00,1.56172485e+01,1.32304258e+01,8.96714687e-01,1.30137207e+02,1.31472158e+00,3.57796135e+01,6.63896084e+00,1.03958726e-01,5.53077316e+00]"
44,"[8.20305252e+01,2.05643344e+00,1.15139435e+02,5.15530539e+00,6.69734240e-01,3.94925079e+01,1.11927772e+00,1.00180054e+01,7.72166252e+00,1.09860569e-01,7.32568407e+00]"
45,"[110.244446,2.8507032,132.32672,5.0014915,0.78905267,97.82761,1.0189121,21.226578,11.439149,0.25055906,5.357737,]"
46,"[,51.240734,6.087997,149.92091,6.1367736,0.6651056,45.876865,1.0711696,128.5347,7.7445393,0.9339299,5.280079,]"
47,"[1.30404221e+02,2.36320686e+00,1.98127251e+01,5.38426447e+00,5.22072613e-01,1.05006805e+02,1.61265993e+00,4.25891724e+01,5.26069450e+00,1.23688519e-01,6.19494438e+00]"
48,"[,73.43321,1.760186,96.34909,5.126401,0.9549306,37.662643,3.3297489,149.60123,6.1448317,0.80301267,7.701395,]"
49,"[128.90172,2.9624639,12.706833,14.915479,0.68089736,33.53033,6.2666874,83.4943,9.12129,0.7596564,7.0662956,]"
50,"[,47.851883,1.6164811,117.843254,5.214977,0.2573757,86.11734,1.7591047,130.5568,7.9306016,0.35194856,7.4500117,]"
51,"[3.00003700e+01,6.69572639e+00,1.00000305e+01,1.49999523e+01,1.00000024e-01,1.49998840e+02,6.99994993e+00,1.49998718e+02,1.46958694e+01,1.00004613e-01,9.00000000e+00]"
52,"[3.0173637e+01,5.7902908e+00,1.0003983e+01,1.4981026e+01,1.2821779e-01,1.4971538e+02,6.9848862e+00,1.4962286e+02,5.0000000e+00,1.0195795e-01,8.9867802e+00]"
53,"[4.51574287e+01,3.58917713e+00,1.00000000e+01,1.32739735e+01,1.00000024e-01,1.00284447e+02,5.48967361e+00,9.29251480e+01,5.00000000e+00,3.03155303e-01,9.00000000e+00]"
54,"[,85.1685,2.4143157,149.9599,12.825542,0.5435048,67.31132,6.6510973,107.174385,5.0000005,0.22205538,9.,]"
55,"[1.4989301e+02,5.0172453e+00,4.5984341e+01,1.0842180e+01,1.0000000e+00,1.3169765e+02,2.8733106e+00,2.0472618e+01,1.2860603e+01,1.4681250e-01,4.0000081e+00]"
56,"[147.2203,2.0041494,149.99365,6.283452,0.9999999,32.70031,1.3018076,26.623638,14.999777,0.81394124,4.,]"
57,"[1.0755575e+02,6.9191985e+00,1.0009186e+01,5.0000010e+00,1.0082385e-01,7.0893227e+01,6.9989023e+00,2.3382225e+01,5.0000033e+00,8.6477602e-01,4.0000038e+00]"
58,"[1.4598795e+02,2.0684786e+00,1.5000000e+02,5.0003514e+00,1.0831186e-01,1.3817276e+02,6.9949570e+00,5.1179939e+01,1.4998888e+01,9.7399181e-01,9.0000000e+00]"
59,"[71.120735,2.2423053,48.894035,12.872081,0.9248487,31.543282,4.1377344,99.86497,7.238689,0.19181845,7.0792303,]"
60,"[,50.88181,6.903347,25.703968,6.5513477,0.36150056,111.88337,1.4504964,10.443733,11.300741,0.1956658,8.3217125,]"
61,"[122.81587,4.8916583,141.32356,10.50711,0.5707066,92.1736,4.503162,11.188316,6.6294217,0.43393818,4.5449758,]"
62,"[,61.371864,6.6314683,30.391022,13.711879,0.29068568,72.17763,2.0399303,131.20628,8.666925,0.6571809,6.3328915,]"
63,"[103.99265,4.9394703,44.061245,13.283308,0.27172935,96.03369,1.3952508,124.07582,12.499598,0.5475938,5.1911135,]"
