episode,action
43,"[141.63293,3.7705908,145.49376,13.621292,0.7609693,56.95262,6.9999995,142.94705,11.694876,0.9997488,8.039855,]"
44,"[120.475525,4.4111576,114.083786,13.117825,0.20500827,41.072437,4.3518896,72.82264,8.053427,0.80052173,4.482765,]"
45,"[1.4648444e+02,1.6727448e+00,1.3325079e+02,9.7107573e+00,1.2059906e-01,5.2399410e+01,1.0042138e+00,2.0250988e+01,1.2535984e+01,8.1450719e-01,6.9478569e+00]"
46,"[137.01823,6.2622223,137.75323,10.984425,0.51209295,41.91208,7.,136.81075,12.684079,0.30900756,7.6702876,]"
47,"[133.52151,1.1246121,98.91771,6.359518,0.49194607,55.991367,6.8998876,122.4467,11.778638,0.38280448,8.929977,]"
48,"[129.93834,6.4891105,107.478096,11.47044,0.23646101,77.06243,1.0144553,144.66808,11.989862,0.6221853,5.267234,]"
49,"[148.83794,3.1445231,140.33417,11.111472,0.98001343,46.73684,6.9999905,133.21492,10.558871,0.21487415,7.2240157,]"
50,"[123.741974,3.003261,144.18433,8.538267,0.20162639,47.549797,1.0652595,136.9274,5.781643,0.9393908,6.7587223,]"
51,"[1.49999908e+02,1.00000024e+00,1.28750763e+01,5.00000000e+00,9.99999642e-01,1.49999817e+02,1.00000000e+00,1.00000000e+01,5.00000000e+00,1.00000024e-01,4.00000000e+00]"
52,"[3.00000000e+01,1.00000000e+00,1.00000000e+01,5.00000000e+00,1.00000000e+00,1.50000000e+02,1.00000000e+00,1.00000000e+01,5.00000000e+00,1.00000024e-01,4.00000000e+00]"
53,"[3.00000000e+01,1.00005102e+00,1.00000000e+01,5.85508251e+00,8.00000548e-01,1.50000000e+02,1.00000000e+00,1.07106758e+02,5.00000000e+00,1.00000024e-01,4.00000191e+00]"
54,"[3.00000000e+01,1.00005102e+00,1.00000000e+01,5.00000000e+00,8.00010443e-01,1.44788574e+02,1.00000000e+00,1.00002899e+01,5.00000000e+00,1.00000024e-01,4.00000000e+00]"
