episode,action
0,"[128.55438,5.1980047,16.748848,12.743894,0.67815626,74.118385,6.999928,108.23112,14.741171,0.6599039,6.47908,]"
1,"[,95.31597,6.518421,52.344578,12.323842,0.8337653,97.48929,1.0053923,140.40887,12.051621,0.6355387,6.7738857]"
2,"[1.4110719e+02,3.7126832e+00,6.3677639e+01,8.5312939e+00,9.4903475e-01,9.2041733e+01,6.9997663e+00,7.5878937e+01,9.5969238e+00,1.0110444e-01,4.7656155e+00]"
3,"[128.62433,4.056351,138.95534,14.6264,0.82269895,42.918194,1.5898488,112.02695,13.98006,0.9236208,8.988528,]"
4,"[118.94991,4.13225,16.94622,5.677923,0.8046695,70.27916,1.0009222,92.43068,14.609588,0.5518241,8.809739,]"
5,"[51.983635,3.0936735,79.59311,12.608622,0.44150332,86.36772,6.687599,36.77976,9.372054,0.95035005,8.978194,]"
6,"[3.2797634e+01,2.8425870e+00,1.4477570e+02,6.9395809e+00,6.9277334e-01,7.4576630e+01,6.3846045e+00,1.3557562e+02,1.4744932e+01,1.1229414e-01,7.2136068e+00]"
7,"[133.7374,1.5640497,138.05634,5.384346,0.78402,100.934395,1.4799991,48.395065,12.570204,0.6607399,4.9132357]"
8,"[119.984604,1.5626106,117.76932,9.380367,0.8693187,42.168762,1.,96.628815,14.8633795,0.79984885,8.883196,]"
9,"[124.55586,6.1113343,115.35852,9.8176,0.73867315,93.678314,6.999997,125.246445,14.735704,0.994323,8.999805,]"
10,"[1.48211426e+02,5.96881962e+00,9.44467697e+01,1.06260281e+01,3.54148328e-01,5.38114700e+01,3.55089998e+00,1.56228485e+01,6.17464161e+00,1.06913298e-01,8.21349049e+00]"
11,"[117.287125,6.3158274,142.49149,12.696545,0.8815336,43.755135,6.9823494,100.10098,11.468101,0.25183097,4.184577,]"
12,"[102.546036,2.369462,49.93517,10.036908,0.540055,84.713646,4.4255605,71.90474,12.916654,0.24432796,8.990188,]"
13,"[,60.01594,2.00641,25.06366,7.9911823,0.66315717,125.877106,6.7540913,55.01719,13.47765,0.76813066,8.904998,]"
14,"[,65.5542,1.2916067,142.83969,6.4440846,0.46551242,104.31721,3.045539,87.827255,5.743436,0.5758181,6.7930427,]"
15,"[118.92642,1.7985132,130.22853,6.986446,0.6848977,86.29364,6.038323,143.45236,5.352134,0.35892385,4.755315,]"
16,"[125.52722,5.2090106,64.4693,6.1790814,0.5468487,49.499603,1.0000005,133.782,12.82741,0.6424715,4.9596205]"
17,"[130.6239,6.196065,27.783424,14.322481,0.9524101,56.08506,1.0000136,61.764336,14.913779,0.99731994,5.613004,]"
18,"[1.1549434e+02,5.5213060e+00,4.1171440e+01,1.4991519e+01,8.3606827e-01,5.7951477e+01,6.8852015e+00,1.2406253e+02,1.4486130e+01,1.0297048e-01,8.1519241e+00]"
19,"[130.73302,6.2327724,110.3207,10.510533,0.7440209,62.817043,1.2673764,86.00503,5.7043676,0.5703323,8.225077,]"
20,"[125.70848,5.5985646,77.69412,11.517102,0.33874756,57.5075,6.773654,29.243671,9.283718,0.57553554,8.673344,]"
21,"[120.86252,3.8050113,109.7547,8.191128,0.7191521,63.447655,3.0619326,136.32555,14.882534,0.9517692,8.287777,]"
22,"[133.03412,4.653475,14.6729965,14.475784,0.875556,73.875916,1.0201559,104.117096,12.550665,0.94629705,8.8220215,]"
23,"[100.70085,6.484486,131.55695,10.797731,0.3571747,100.397934,6.4721527,88.792274,14.75261,0.1332632,5.9482226]"
24,"[,89.71862,5.431962,146.64825,5.939555,0.6170594,36.04756,6.949999,52.931755,6.633535,0.18106866,4.90144,]"
25,"[,73.29706,4.8902655,117.704575,13.880928,0.78537244,60.86051,1.1095142,49.732327,14.757675,0.99712694,8.41368,]"
26,"[134.99521,4.2049103,122.3098,14.868729,0.8370969,63.40161,3.620964,85.02473,13.315295,0.39006665,8.392931,]"
27,"[,34.71098,4.2286797,98.36987,8.450416,0.44514716,106.118744,2.1024313,92.892944,14.417045,0.7034793,6.956973,]"
28,"[1.09068665e+02,2.84924769e+00,9.03574142e+01,1.34291744e+01,4.47978288e-01,1.20950035e+02,2.01442170e+00,2.50695572e+01,1.49171171e+01,1.03833377e-01,8.91048622e+00]"
29,"[136.56909,5.5508137,20.596306,13.632553,0.32197732,85.56033,6.760537,95.396416,13.784147,0.97506785,8.049507,]"
30,"[,61.293358,6.7842455,68.41833,7.0547676,0.75116616,142.80812,5.403324,113.650856,13.22466,0.1478447,8.880535,]"
31,"[106.22055,2.2353933,144.69547,6.306816,0.51210254,137.05872,6.741542,124.21324,14.011773,0.59822124,5.516887,]"
32,"[,80.054115,6.8721848,145.03688,7.9368143,0.6402075,96.465645,1.0060458,114.42461,9.713779,0.19922513,7.937097,]"
