episode,state
0,"[100.43382, 57.2509111]"
1,"[73.1826269, 67.4801144]"
2,"[162.042987, 245.144394]"
3,"[82.115477, 165.405262]"
4,"[59.0142096, 92.363881]"
5,"[57.0078895, 59.6331484]"
6,"[63.9542149, 118.293583]"
7,"[57.4338442, 123.692704]"
8,"[107.336832, 58.8376841]"
9,"[116.955825, 116.507168]"
10,"[88.4521883, 84.710369]"
11,"[116.922723, 191.245305]"
12,"[141.109193, 161.244416]"
13,"[122.487708, 68.7226621]"
14,"[112.568178, 113.403284]"
15,"[65.998863, 47.7467304]"
16,"[102.744576, 56.8347755]"
17,"[62.2897031, 127.443217]"
18,"[210.342635, 115.769257]"
19,"[81.6876778, 120.750247]"
20,"[165.308836, 137.842978]"
21,"[77.6338054, 77.2122403]"
22,"[53.9476629, 59.1280515]"
23,"[154.467262, 120.052771]"
24,"[60.1814244, 61.1662183]"
25,"[160.966277, 98.0280787]"
26,"[99.5377205, 101.37918]"
27,"[133.069293, 122.958402]"
28,"[152.488103, 122.117284]"
29,"[98.0389141, 156.240381]"
30,"[86.409869, 77.6884971]"
31,"[58.3768466, 56.9560425]"
32,"[95.2727817, 90.5019156]"
33,"[95.5784376, 97.0667072]"
34,"[83.7315951, 89.583121]"
35,"[114.551138, 204.739533]"
36,"[115.520556, 93.2461155]"
37,"[114.174186, 104.88064]"
38,"[94.7013244, 148.111779]"
39,"[85.8253057, 177.494699]"
40,"[64.1100079, 69.9510662]"
41,"[53.5113739, 91.2569516]"
42,"[49.7017756, 94.4745335]"
43,"[178.045884, 133.822939]"
44,"[133.060343, 243.705599]"
45,"[74.4213905, 153.244454]"
46,"[59.3296788, 126.545644]"
47,"[119.777767, 239.767377]"
48,"[73.6520503, 75.9337176]"
49,"[231.649414, 112.423554]"
50,"[55.9226979, 70.6725513]"
51,"[393.446122, 166.898529]"
52,"[169.859079, 77.937448]"
53,"[51.826651, 40.1840045]"
54,"[58.2281836, 41.8032418]"
55,"[189.543075, 121.09617]"
56,"[167.694969, 258.784086]"
57,"[198.538972, 207.804133]"
58,"[146.128124, 286.158908]"
59,"[72.4530622, 77.1797496]"
60,"[91.7530937, 80.4562292]"
61,"[101.821328, 190.401419]"
62,"[72.7646258, 145.921298]"
63,"[89.4232045, 87.324882]"
64,"[53.2622064, 52.2117087]"
65,"[39.8758932, 40.4873178]"
66,"[138.960587, 133.719687]"
67,"[345.138745, 193.913105]"
68,"[94.8037246, 81.1352861]"
69,"[150.411489, 168.616425]"
70,"[84.8738012, 89.7791773]"
71,"[65.0125921, 58.952108]"
72,"[188.253025, 242.468097]"
73,"[92.8099352, 94.494226]"
74,"[202.93398, 314.428526]"
