episode,state
0,"[240.799044, 231.527242]"
1,"[160.452868, 208.880127]"
2,"[111.123632, 123.772595]"
3,"[56.7221327, 76.4327897]"
4,"[69.3547518, 70.4752777]"
5,"[81.7880889, 66.8653674]"
6,"[117.020503, 88.6688059]"
7,"[92.1057947, 114.115703]"
8,"[49.2049253, 48.834789]"
9,"[195.783461, 185.489486]"
10,"[115.846068, 171.02278]"
11,"[92.5761161, 87.171936]"
12,"[72.298988, 91.8513408]"
13,"[87.3832105, 86.635785]"
14,"[192.411846, 213.65756]"
15,"[142.898683, 148.618695]"
16,"[177.610951, 189.840471]"
17,"[98.9038635, 116.638023]"
18,"[56.0751431, 72.6087755]"
19,"[227.882551, 162.527777]"
20,"[100.240783, 104.463481]"
21,"[66.5940933, 66.8486788]"
22,"[118.011933, 116.519844]"
23,"[64.6299004, 52.9371568]"
24,"[56.9793053, 46.4521194]"
25,"[60.2894072, 66.9982913]"
26,"[75.2483776, 68.2624178]"
27,"[99.1503931, 89.6350645]"
28,"[126.364352, 132.858827]"
29,"[84.1141006, 78.3954087]"
30,"[137.65047, 145.695876]"
31,"[138.752137, 158.993247]"
32,"[65.7760356, 62.6941455]"
33,"[65.2806374, 63.8955487]"
34,"[119.150678, 73.0044803]"
35,"[72.9003548, 73.7667255]"
36,"[96.9747167, 59.599435]"
37,"[45.6834007, 63.3984001]"
38,"[65.7538885, 70.411617]"
39,"[70.6402443, 66.5939436]"
40,"[76.9827224, 73.6748967]"
41,"[56.1044986, 92.913366]"
42,"[155.890346, 166.886126]"
43,"[81.7683136, 93.7514382]"
44,"[40.3886055, 48.8197645]"
45,"[191.439756, 177.661428]"
46,"[142.491632, 135.853979]"
47,"[59.1753451, 78.1701994]"
48,"[71.4832756, 122.897483]"
49,"[65.8094558, 67.144664]"
50,"[77.2173021, 96.7035779]"
51,"[59.6280783, 47.5150717]"
52,"[39.3320603, 85.0717667]"
53,"[47.7845379, 93.5442381]"
54,"[109.746371, 50.1409208]"
55,"[73.1963017, 85.8350088]"
56,"[66.371177, 95.4170346]"
57,"[322.600577, 160.705029]"
58,"[299.887329, 136.164156]"
59,"[105.263244, 60.3820817]"
60,"[99.4912601, 165.705695]"
61,"[120.439962, 162.119729]"
62,"[111.385809, 108.66268]"
63,"[54.5112686, 52.5398624]"
64,"[69.5951133, 71.4092341]"
65,"[75.774709, 124.341236]"
66,"[190.618881, 152.729291]"
