episode,state
0,"[136.092304, 76.3148216]"
1,"[123.718918, 127.794792]"
2,"[86.8175971, 82.1272167]"
3,"[93.251263, 101.150388]"
4,"[70.1022357, 70.0669973]"
5,"[76.0803065, 59.6552046]"
6,"[83.951034, 82.9690856]"
7,"[49.7213413, 52.1272189]"
8,"[127.095218, 128.121509]"
9,"[88.2077866, 82.0432765]"
10,"[55.2538959, 55.5396129]"
11,"[57.269087, 50.0633948]"
12,"[97.3187595, 64.068947]"
13,"[87.6055903, 88.0281349]"
14,"[172.891203, 159.901453]"
15,"[140.906739, 145.882175]"
16,"[69.8790336, 69.5168818]"
17,"[82.2925439, 71.9199691]"
18,"[150.240836, 118.204409]"
19,"[51.4153306, 48.7881945]"
20,"[50.2401499, 55.6330737]"
21,"[201.08378, 137.041178]"
22,"[81.577299, 80.8167302]"
23,"[324.509474, 176.235981]"
24,"[79.0199605, 78.18704]"
25,"[120.474671, 122.121553]"
26,"[51.1881829, 53.1575476]"
27,"[66.1278062, 57.7905219]"
28,"[133.88645, 149.123008]"
29,"[166.239026, 105.202308]"
30,"[143.908889, 136.704804]"
31,"[167.391561, 171.427627]"
32,"[84.655538, 85.9994094]"
33,"[43.4815238, 46.6442275]"
34,"[137.835897, 192.125386]"
35,"[120.379602, 116.284263]"
36,"[51.7904499, 52.7953929]"
37,"[143.305408, 112.281011]"
38,"[49.6822212, 48.0395449]"
39,"[160.410396, 228.29638]"
40,"[86.8757612, 82.0361096]"
41,"[89.9166377, 54.5008703]"
42,"[68.0506493, 51.1936582]"
43,"[130.188592, 75.9605983]"
44,"[185.714334, 177.398324]"
45,"[135.248429, 76.1136533]"
46,"[43.5850034, 42.8475527]"
47,"[134.002928, 142.473312]"
48,"[110.635512, 114.561341]"
49,"[176.367843, 146.853924]"
50,"[164.248492, 165.032283]"
51,"[435.970742, 433.080932]"
52,"[435.970742, 433.080932]"
53,"[435.84822, 432.981029]"
54,"[435.848737, 446.583298]"
55,"[104.435741, 99.3247457]"
56,"[48.3001814, 101.217147]"
57,"[51.2186308, 54.0012731]"
58,"[100.900452, 50.9085824]"
59,"[126.627747, 101.338298]"
60,"[87.3000038, 73.2330102]"
61,"[89.038179, 88.0951598]"
62,"[56.4127799, 53.5729475]"
63,"[177.194891, 171.259416]"
64,"[116.768288, 170.387995]"
65,"[97.2763876, 87.881932]"
66,"[95.5543033, 143.30634]"
67,"[122.265065, 123.761519]"
68,"[120.833641, 111.843943]"
69,"[60.4011574, 102.671997]"
70,"[116.045127, 95.020685]"
71,"[52.8707222, 52.6993475]"
72,"[149.675356, 126.794944]"
73,"[100.836984, 92.8182076]"
74,"[163.767282, 160.514477]"
75,"[87.2995954, 104.531072]"
76,"[64.3974064, 73.0455305]"
77,"[57.2080848, 89.246848]"
78,"[56.95706, 57.658134]"
79,"[54.6997329, 59.1464165]"
80,"[144.023871, 189.710158]"
81,"[103.018848, 111.860645]"
82,"[117.156502, 134.60026]"
83,"[50.5914584, 49.3880505]"
84,"[72.4824863, 76.4147819]"
85,"[50.0023153, 47.8149957]"
86,"[154.444685, 128.92868]"
87,"[133.5468, 132.240919]"
88,"[50.5641398, 90.3130182]"
89,"[42.431883, 81.9468092]"
90,"[44.2554697, 48.3498657]"
91,"[71.8493244, 79.7744009]"
92,"[167.861849, 242.607806]"
93,"[186.274927, 176.20253]"
94,"[93.1681664, 90.0327922]"
95,"[46.5401343, 45.8737031]"
96,"[82.8742159, 75.3972726]"
97,"[54.6928022, 53.2854317]"
98,"[78.1737993, 93.9211304]"
99,"[88.2275279, 85.9337236]"
100,"[79.4690072, 112.639921]"
101,"[50.6673353, 51.004737]"
102,"[70.7389195, 70.1582298]"
103,"[51.0148515, 49.7911926]"
104,"[47.7422303, 70.463676]"
105,"[52.2494881, 47.9733774]"
106,"[46.3299973, 59.2429574]"
107,"[245.09655, 175.660979]"
108,"[78.065496, 79.0705969]"
109,"[48.701081, 48.9059811]"
