episode,state
0,"[70.551019, 58.0574639]"
1,"[51.512299, 50.9301604]"
2,"[90.1241616, 85.420707]"
3,"[50.122206, 54.782068]"
4,"[88.0431592, 87.3048192]"
5,"[50.1078166, 53.8358017]"
6,"[128.835614, 237.04123]"
7,"[64.1132114, 68.9724594]"
8,"[156.784503, 150.143059]"
9,"[102.84146, 202.817563]"
10,"[112.654033, 120.991081]"
11,"[139.615222, 135.275341]"
12,"[265.537058, 207.128844]"
13,"[66.2747361, 65.0689648]"
14,"[102.026442, 53.0776664]"
15,"[52.1627829, 41.0030797]"
16,"[158.298402, 228.720482]"
17,"[122.5968, 248.551817]"
18,"[114.16336, 183.829442]"
19,"[54.7672369, 54.4098291]"
20,"[45.3182517, 45.5036723]"
21,"[206.298214, 320.940143]"
22,"[215.015747, 204.466163]"
23,"[103.758765, 105.691994]"
24,"[159.083045, 210.776498]"
25,"[64.9156836, 61.1803956]"
26,"[98.2295458, 179.294231]"
27,"[149.483759, 322.615615]"
28,"[164.564525, 142.129349]"
29,"[108.146914, 143.354396]"
30,"[65.6464601, 56.0942753]"
31,"[81.6675408, 75.5977833]"
32,"[119.453471, 125.64016]"
33,"[200.948368, 161.534339]"
34,"[176.201583, 244.027119]"
35,"[107.450506, 88.0032078]"
36,"[100.968302, 69.3514333]"
37,"[106.409259, 138.073129]"
38,"[56.8497796, 117.231283]"
39,"[106.327817, 93.2732803]"
40,"[102.20559, 99.3090764]"
41,"[125.796651, 119.63945]"
42,"[126.447581, 247.679063]"
43,"[60.7512906, 53.9973436]"
44,"[150.361056, 157.833832]"
45,"[163.911758, 217.171423]"
46,"[62.0239778, 59.3096452]"
47,"[99.2240485, 49.8135048]"
48,"[105.298388, 221.991975]"
49,"[73.7444571, 62.7926038]"
50,"[83.2878289, 154.461157]"
51,"[387.807061, 400.701601]"
52,"[446.737816, 427.198546]"
53,"[446.722668, 427.198282]"
54,"[427.462475, 427.198546]"
55,"[74.5629664, 94.3283596]"
56,"[303.589494, 186.187374]"
57,"[209.971348, 227.354261]"
58,"[198.855289, 184.21834]"
59,"[92.7228027, 95.9678045]"
60,"[48.759123, 56.550835]"
61,"[119.25172, 111.511578]"
62,"[82.6789156, 89.7457769]"
63,"[136.804006, 131.940153]"
