episode,state
0,"[164.60054, 173.888621]"
1,"[275.722422, 142.995298]"
2,"[140.63353, 286.663148]"
3,"[175.828701, 145.570692]"
4,"[102.197572, 72.6450852]"
5,"[263.525121, 142.814734]"
6,"[367.169955, 304.431853]"
7,"[306.291907, 308.062679]"
8,"[114.175984, 184.161227]"
9,"[199.900979, 133.862159]"
10,"[109.953002, 171.286156]"
11,"[101.479902, 102.730494]"
12,"[66.232356, 116.220077]"
13,"[76.5107727, 129.953534]"
14,"[201.170573, 167.557172]"
15,"[101.211324, 110.636725]"
16,"[96.3952596, 126.44801]"
17,"[338.626277, 381.1934]"
18,"[185.516385, 354.228801]"
19,"[138.609341, 262.710261]"
20,"[86.1204515, 182.325859]"
21,"[75.0933328, 141.938836]"
22,"[116.394104, 137.494025]"
23,"[133.84398, 221.04283]"
24,"[152.846202, 231.788809]"
25,"[128.23174, 270.434719]"
26,"[96.6995257, 104.595232]"
27,"[195.704334, 182.542521]"
28,"[330.85655, 264.745153]"
29,"[140.983739, 202.509055]"
30,"[156.374093, 108.396659]"
31,"[153.651649, 282.794564]"
32,"[175.797994, 193.158996]"
33,"[99.4833249, 181.352998]"
34,"[121.560632, 133.801533]"
35,"[57.7166318, 61.030603]"
36,"[104.983451, 228.04392]"
37,"[139.811668, 151.667643]"
38,"[131.441561, 102.448016]"
39,"[100.116223, 94.5754141]"
40,"[107.682202, 55.1435496]"
41,"[218.291485, 146.697649]"
42,"[150.19547, 149.253627]"
43,"[162.451309, 174.103501]"
44,"[83.0821348, 128.110301]"
45,"[124.429057, 232.028325]"
46,"[102.832482, 213.116779]"
47,"[97.3243799, 124.232861]"
48,"[88.6368136, 65.3037185]"
49,"[79.0280532, 69.461693]"
50,"[99.3221904, 93.6326644]"
51,"[49.4125488, 48.9123293]"
52,"[41.379976, 40.0575227]"
53,"[44.8522889, 41.537684]"
54,"[49.0800298, 40.3673317]"
55,"[172.650189, 192.412438]"
56,"[284.313751, 376.650804]"
57,"[206.00447, 196.915866]"
58,"[98.5675218, 73.8920931]"
59,"[80.7308584, 64.1531781]"
60,"[52.7776995, 92.9750904]"
61,"[143.589363, 146.173469]"
62,"[115.140409, 158.019167]"
63,"[115.380896, 187.939252]"
64,"[54.8590552, 50.4185371]"
65,"[54.8348102, 57.3822092]"
66,"[60.8338836, 60.2742133]"
67,"[52.5182236, 65.3713495]"
68,"[67.4503038, 66.1676263]"
69,"[85.6047798, 95.6025626]"
70,"[87.778877, 135.235797]"
71,"[51.7251753, 57.6006129]"
72,"[76.6649332, 101.099109]"
73,"[62.8494839, 100.422345]"
74,"[56.4823977, 59.0328892]"
75,"[68.275259, 67.305481]"
76,"[218.692296, 156.741529]"
77,"[96.1544175, 89.7637016]"
78,"[163.093514, 173.395821]"
79,"[163.117831, 224.995257]"
80,"[61.8541274, 68.4306588]"
81,"[54.7419345, 95.2052298]"
82,"[140.176656, 79.9208484]"
83,"[58.9799922, 55.3179452]"
84,"[78.8265249, 60.7875812]"
85,"[55.1786087, 63.9635897]"
86,"[96.664839, 110.620414]"
87,"[51.2176443, 99.3510284]"
88,"[166.132765, 100.220027]"
89,"[112.554469, 97.9820962]"
90,"[105.232216, 55.3198541]"
91,"[136.550867, 132.901388]"
92,"[306.561602, 153.020185]"
93,"[81.7977198, 78.6543758]"
94,"[67.7835861, 130.682646]"
95,"[76.3036554, 75.8677422]"
96,"[41.7268264, 39.6322259]"
97,"[72.1147154, 44.9174808]"
98,"[149.151471, 136.980561]"
99,"[174.633595, 91.3149857]"
100,"[73.3690202, 46.7683389]"
101,"[148.369401, 132.035108]"
102,"[81.4326271, 82.3847152]"
103,"[42.8906471, 88.7077221]"
104,"[91.4994786, 64.1585594]"
105,"[65.1578461, 77.4631073]"
106,"[45.4191584, 44.107922]"
107,"[131.44788, 148.864218]"
108,"[200.374813, 145.683832]"
109,"[316.67817, 173.82435]"
110,"[179.982621, 189.378466]"
111,"[128.907796, 111.41772]"
112,"[100.342707, 106.730011]"
113,"[92.3536225, 91.9477813]"
114,"[86.5443569, 87.5955375]"
115,"[127.677605, 130.246874]"
116,"[104.15266, 99.553525]"
117,"[62.452577, 56.8752333]"
118,"[133.821074, 125.879932]"
119,"[110.31155, 73.8841125]"
120,"[116.395441, 90.431155]"
121,"[171.29096, 159.83645]"
122,"[83.4061619, 81.1448473]"
123,"[79.7560434, 78.7336752]"
124,"[108.486097, 218.930265]"
125,"[56.6377337, 103.399793]"
126,"[143.871321, 165.861174]"
127,"[91.9369692, 147.397825]"
128,"[201.860327, 202.251673]"
129,"[86.7789643, 129.593328]"
130,"[41.8768311, 82.4750985]"
131,"[47.1625023, 69.3279003]"
132,"[80.8825933, 65.1399792]"
133,"[98.9683063, 90.8791814]"
134,"[59.4527056, 88.7157051]"
135,"[64.0996748, 55.1098943]"
136,"[61.4513171, 63.4275083]"
137,"[122.198719, 61.6987987]"
138,"[186.685671, 173.420314]"
139,"[114.866605, 107.698838]"
140,"[85.0791106, 132.462011]"
141,"[68.2728873, 74.9005395]"
142,"[159.971865, 266.427908]"
143,"[202.449875, 200.143602]"
144,"[127.486051, 133.913506]"
145,"[175.813848, 120.997883]"
146,"[130.705337, 98.0811339]"
147,"[129.169532, 126.972657]"
148,"[87.6267046, 88.5687795]"
149,"[195.928206, 193.430833]"
150,"[187.171499, 195.118786]"
151,"[116.396644, 113.777697]"
152,"[117.386502, 169.240897]"
153,"[109.385298, 108.384365]"
154,"[105.634794, 104.623915]"
155,"[91.1989627, 148.674944]"
156,"[64.2888731, 58.6170053]"
157,"[52.7331839, 65.8677736]"
158,"[160.75696, 266.998959]"
159,"[80.0915846, 90.4338468]"
160,"[70.9898703, 82.8001061]"
161,"[73.1579553, 76.6309994]"
162,"[95.9565672, 83.5825077]"
163,"[77.1079731, 52.8383691]"
164,"[67.1207467, 50.3539914]"
165,"[53.4426927, 58.8510942]"
166,"[80.1195931, 90.7862982]"
167,"[176.243544, 184.131555]"
168,"[92.0846651, 89.5280415]"
169,"[45.7145729, 64.1103076]"
170,"[157.170449, 148.322258]"
171,"[111.551243, 92.2833333]"
172,"[248.848895, 150.240991]"
173,"[199.364022, 194.148735]"
174,"[144.511792, 150.360895]"
175,"[62.0991424, 65.0702016]"
176,"[121.604938, 81.7612867]"
177,"[60.7743259, 75.1654755]"
178,"[103.581511, 100.91568]"
179,"[71.1369568, 64.6941992]"
180,"[91.8968588, 91.9645356]"
181,"[107.14639, 99.6353272]"
182,"[62.9944023, 61.0919464]"
183,"[148.958985, 191.218948]"
184,"[86.5113589, 87.8423933]"
185,"[84.3227009, 93.6761557]"
186,"[54.4009441, 56.6080294]"
187,"[153.922307, 153.245368]"
188,"[114.480066, 99.3868809]"
189,"[113.71633, 97.4257974]"
190,"[68.0943087, 129.49762]"
191,"[71.0590897, 65.4929041]"
192,"[110.215846, 175.248898]"
193,"[129.736596, 135.566101]"
194,"[188.126301, 128.552235]"
195,"[59.6422594, 66.7152027]"
196,"[52.9276918, 53.6018009]"
197,"[80.5186389, 81.9614849]"
198,"[70.8961711, 74.1729395]"
199,"[57.2369029, 93.5537095]"
200,"[96.5920848, 59.227607]"
201,"[170.576139, 117.847978]"
202,"[125.284578, 119.278623]"
203,"[82.9889526, 95.4135297]"
204,"[61.6531207, 45.5461205]"
205,"[53.2715077, 68.7384259]"
206,"[58.007029, 52.3759053]"
207,"[58.6190852, 55.8585509]"
208,"[61.4628697, 58.5269637]"
209,"[256.314691, 165.160481]"
210,"[196.900125, 113.667743]"
211,"[57.3354631, 61.4840739]"
212,"[74.3175376, 66.4309114]"
213,"[91.193263, 98.3156227]"
214,"[67.1176406, 69.7979525]"
215,"[78.4549338, 85.8128976]"
216,"[74.5421167, 67.2147754]"
217,"[67.4523715, 63.0097273]"
218,"[107.711678, 90.1858713]"
219,"[77.4818792, 48.3373917]"
220,"[43.871528, 43.0407008]"
221,"[54.7522345, 53.8939974]"
222,"[147.912099, 153.996055]"
223,"[92.4092944, 109.811292]"
224,"[109.83797, 117.711824]"
225,"[62.224164, 65.3678292]"
226,"[54.4176304, 57.6159985]"
227,"[156.463209, 204.104824]"
228,"[81.6635568, 85.2622099]"
229,"[94.8415167, 95.2684348]"
230,"[90.9851109, 89.8003704]"
231,"[100.361503, 111.395354]"
232,"[114.072145, 120.792096]"
233,"[109.487903, 121.870207]"
234,"[93.6416629, 52.4537219]"
235,"[188.613009, 126.037729]"
236,"[102.118741, 105.233223]"
237,"[75.3852642, 84.9458623]"
238,"[92.0594991, 49.4401713]"
239,"[80.6502019, 79.8805193]"
240,"[61.1912765, 60.3566346]"
241,"[56.0892735, 61.6838687]"
242,"[62.0348643, 60.7410407]"
243,"[124.935445, 140.349972]"
244,"[132.723643, 130.968892]"
245,"[112.436113, 103.392904]"
246,"[56.8951391, 94.4989879]"
247,"[92.5506014, 81.4549526]"
248,"[117.069153, 145.574597]"
249,"[155.552419, 159.964341]"
250,"[126.016213, 109.581472]"
251,"[75.638774, 74.624428]"
252,"[58.127673, 104.132744]"
253,"[115.963158, 104.297388]"
254,"[51.7136841, 54.9247071]"
255,"[162.291284, 203.911093]"
256,"[132.108274, 83.7561184]"
257,"[42.6598579, 42.3136171]"
258,"[52.9966318, 51.7160489]"
259,"[95.6753687, 106.627943]"
260,"[149.273841, 138.03136]"
261,"[83.2718151, 87.4207382]"
262,"[103.134686, 110.315794]"
263,"[56.805423, 48.0783525]"
264,"[149.0912, 177.4762]"
265,"[103.321937, 88.1619099]"
266,"[49.3775523, 53.1026746]"
267,"[48.2335217, 41.4028422]"
268,"[59.4297772, 66.2536952]"
269,"[58.4315662, 89.3608912]"
270,"[48.8659316, 44.6404012]"
271,"[42.4313633, 42.126921]"
272,"[107.342553, 97.9719117]"
273,"[107.816851, 86.9280515]"
274,"[85.3437595, 85.6816422]"
275,"[51.8793682, 49.7988182]"
276,"[97.776798, 97.544325]"
277,"[139.00372, 143.104352]"
278,"[105.897442, 110.502663]"
279,"[84.9682041, 56.9308685]"
280,"[70.6160171, 52.4683965]"
281,"[73.4464273, 72.6896226]"
282,"[55.919052, 53.7470343]"
283,"[50.1575261, 68.7446397]"
284,"[57.0193739, 57.3479527]"
285,"[48.6266786, 44.7670198]"
286,"[53.7504837, 56.1044492]"
287,"[72.1329734, 67.1850899]"
288,"[86.7859584, 56.1638466]"
289,"[130.31312, 111.885433]"
290,"[54.9125611, 50.8900023]"
291,"[82.7757703, 83.8123276]"
292,"[74.4350954, 82.1076914]"
293,"[111.566663, 111.125476]"
294,"[109.278103, 65.1411461]"
295,"[65.0256786, 62.9360046]"
296,"[56.3301887, 54.9383557]"
297,"[43.8528031, 50.9581301]"
298,"[42.7325338, 45.8132013]"
299,"[59.752609, 69.1261774]"
300,"[80.2356892, 76.7153153]"
301,"[64.5311956, 62.9618368]"
302,"[72.4033052, 70.8600041]"
303,"[60.0162732, 57.0331804]"
304,"[59.4237301, 80.4260002]"
305,"[61.4067532, 66.5452514]"
306,"[95.4295318, 60.7839399]"
307,"[145.199761, 164.642501]"
308,"[100.007141, 101.384123]"
309,"[54.4516611, 51.3456845]"
310,"[46.9552068, 48.0391092]"
311,"[155.952268, 150.823942]"
312,"[114.992612, 127.721464]"
313,"[58.9892973, 65.009761]"
314,"[62.6722073, 67.1184882]"
315,"[50.7366675, 51.6014597]"
316,"[86.9822218, 74.1649915]"
317,"[69.2909032, 70.4918114]"
318,"[52.0131846, 53.804515]"
319,"[54.9548173, 103.940045]"
320,"[65.100334, 64.8638859]"
321,"[97.7334645, 84.7181257]"
322,"[96.399594, 100.886014]"
323,"[78.4723797, 86.6608937]"
324,"[60.4930912, 87.53138]"
325,"[60.5623764, 40.773424]"
326,"[60.2690319, 61.4545481]"
327,"[54.614655, 58.8587665]"
328,"[49.699546, 45.9014576]"
329,"[79.5056394, 77.7251583]"
330,"[63.3148358, 64.7551617]"
331,"[68.6495516, 71.8870354]"
332,"[52.9774251, 51.2552086]"
333,"[63.6974715, 59.0774534]"
334,"[95.7326511, 91.0783849]"
335,"[63.1376221, 64.4887751]"
336,"[55.605569, 60.7689581]"
337,"[57.574144, 59.2895986]"
338,"[60.8220473, 58.2464806]"
339,"[124.485014, 127.474681]"
340,"[237.281246, 157.812778]"
341,"[103.580098, 97.3953194]"
342,"[60.0169867, 57.2615044]"
343,"[134.638523, 115.191461]"
344,"[48.7104136, 50.8087856]"
345,"[50.5894636, 46.1722259]"
346,"[43.8911322, 42.6227944]"
347,"[47.5722246, 62.0125599]"
348,"[44.4890403, 45.2747016]"
349,"[47.9035155, 44.9981962]"
350,"[49.5849356, 51.2369041]"
351,"[53.6156254, 51.936923]"
352,"[55.855501, 56.7471382]"
353,"[59.284399, 58.7870984]"
354,"[53.3936555, 54.4199642]"
355,"[55.5838508, 57.1342252]"
356,"[48.0336703, 47.4652533]"
357,"[47.4368372, 46.0524754]"
358,"[43.7781834, 43.524039]"
359,"[48.4089514, 44.6726494]"
360,"[97.660914, 89.3229047]"
361,"[70.562804, 68.6878025]"
362,"[63.8188105, 68.1742786]"
363,"[57.1435185, 55.1891627]"
364,"[53.9114753, 56.4365054]"
365,"[135.340724, 139.795126]"
366,"[95.7592354, 97.9822163]"
367,"[65.6986793, 67.24325]"
368,"[60.4548799, 58.5384669]"
369,"[60.2562812, 60.0555268]"
370,"[154.280695, 151.199258]"
371,"[80.0582459, 92.3988357]"
372,"[47.7014789, 46.4051317]"
373,"[63.0500189, 69.2500538]"
374,"[132.858295, 128.360628]"
375,"[82.0839756, 79.7553313]"
376,"[73.6397033, 50.9371566]"
377,"[78.0976164, 78.4765487]"
378,"[49.1244174, 58.3821786]"
379,"[42.8900771, 42.4668033]"
380,"[46.5846625, 45.5187712]"
381,"[70.3236497, 71.2280112]"
382,"[59.4094691, 57.851641]"
383,"[75.4778576, 90.4580134]"
384,"[52.6534087, 52.8231983]"
385,"[113.744788, 108.408597]"
386,"[51.8587356, 55.4746932]"
387,"[49.9121115, 49.0584779]"
388,"[48.4725733, 48.4337632]"
389,"[69.930988, 73.0350515]"
390,"[52.7274797, 52.5992243]"
391,"[88.133232, 93.718076]"
392,"[68.5269254, 67.0195016]"
393,"[75.9534055, 77.0176682]"
394,"[68.895097, 72.627655]"
395,"[58.4257785, 58.9386697]"
396,"[84.5999136, 86.9205236]"
397,"[49.6567066, 50.0112668]"
398,"[43.3686069, 42.0841567]"
399,"[50.5339303, 45.6602717]"
400,"[69.4661138, 70.2265799]"
401,"[62.1488703, 64.874264]"
402,"[58.2495078, 61.0274505]"
403,"[66.1082198, 70.0519358]"
404,"[64.1565708, 65.4977018]"
405,"[74.4697994, 54.6582341]"
406,"[90.2634137, 88.6708542]"
407,"[58.8490151, 62.5697643]"
408,"[52.5203262, 58.3946395]"
409,"[48.6915933, 52.1142083]"
410,"[48.1919812, 50.5190606]"
411,"[51.409016, 49.528788]"
412,"[41.6404968, 46.0895542]"
413,"[44.596059, 43.4537175]"
414,"[76.1342894, 69.2525083]"
415,"[53.1021194, 56.4187638]"
416,"[45.8604118, 52.8368735]"
417,"[48.0516599, 51.7421716]"
418,"[75.5658203, 73.4128091]"
419,"[66.5998489, 65.8477336]"
420,"[63.001948, 58.2296924]"
421,"[56.7829801, 62.3312853]"
422,"[45.9333625, 44.4811685]"
423,"[42.5508781, 42.6586602]"
424,"[48.7752109, 47.9171719]"
