episode,state
0,"[161.968512, 98.2174501]"
1,"[142.148051, 125.693066]"
2,"[205.565237, 161.35064]"
3,"[189.663595, 99.6532031]"
4,"[201.729902, 175.516707]"
5,"[229.166971, 109.475261]"
6,"[52.566739, 52.7146506]"
7,"[181.779789, 185.300656]"
8,"[81.8883201, 95.5576368]"
9,"[192.256042, 107.38407]"
10,"[127.06494, 71.8375243]"
11,"[201.081384, 162.384201]"
12,"[122.508692, 131.135373]"
13,"[226.227313, 108.875349]"
14,"[114.154253, 55.8637861]"
15,"[43.6742928, 62.3569596]"
16,"[55.0665433, 47.4195825]"
17,"[96.8720359, 97.2329424]"
18,"[126.016662, 135.264112]"
19,"[253.803569, 123.104456]"
20,"[163.193388, 161.956203]"
21,"[182.181998, 88.6384493]"
22,"[113.147245, 115.215848]"
23,"[160.426872, 176.118223]"
24,"[285.410807, 133.634562]"
25,"[83.0840187, 83.666635]"
26,"[331.7293, 158.867759]"
27,"[444.710649, 205.397285]"
28,"[101.039996, 79.7324873]"
29,"[175.475352, 83.101708]"
30,"[117.357589, 119.037937]"
31,"[108.039943, 124.828776]"
32,"[51.8809748, 53.4547811]"
33,"[108.636571, 92.7215494]"
34,"[137.796494, 138.691442]"
35,"[261.687278, 123.376237]"
36,"[112.340969, 54.4786343]"
37,"[146.962858, 84.9392407]"
38,"[166.388396, 85.8024723]"
39,"[132.394718, 137.043575]"
40,"[87.1656026, 106.756264]"
41,"[133.434677, 131.306497]"
42,"[186.355563, 116.690904]"
43,"[130.056414, 84.3281481]"
44,"[99.2583633, 72.4895389]"
45,"[52.3581301, 55.8333374]"
46,"[88.5221454, 85.9887633]"
47,"[159.412835, 152.899846]"
48,"[101.644285, 188.642613]"
49,"[123.532484, 59.7301372]"
50,"[160.563647, 176.384094]"
51,"[48.3121087, 103.824833]"
52,"[40.2676412, 86.0891384]"
53,"[159.566597, 373.676382]"
54,"[205.843778, 425.541466]"
55,"[176.523618, 77.3845105]"
56,"[287.901237, 435.520088]"
57,"[73.5693013, 95.1842125]"
58,"[40.4620183, 40.7228872]"
59,"[232.048343, 169.68848]"
60,"[223.291171, 112.927085]"
61,"[135.237582, 77.3124719]"
62,"[58.6640518, 56.3504528]"
63,"[52.4914004, 44.9818395]"
64,"[110.769112, 116.649921]"
65,"[47.4197125, 51.00221]"
66,"[119.185686, 79.4766198]"
67,"[53.9535869, 65.0707421]"
68,"[48.240746, 42.6066509]"
69,"[188.284567, 168.732665]"
70,"[94.4580845, 144.358687]"
71,"[92.0195403, 96.1907823]"
72,"[75.6886039, 76.9282722]"
73,"[55.9845988, 55.398389]"
74,"[59.623145, 64.801695]"
75,"[87.0134015, 50.9912165]"
76,"[94.4867871, 58.7080842]"
77,"[57.7432921, 66.0181868]"
78,"[50.5617074, 51.5422565]"
79,"[142.682739, 155.606482]"
80,"[99.8092824, 154.420986]"
81,"[47.7819676, 44.6490584]"
82,"[88.1349222, 76.72451]"
83,"[69.2983012, 66.7120925]"
84,"[86.1479928, 104.950562]"
85,"[180.048552, 204.664434]"
86,"[225.094554, 254.798185]"
87,"[240.09099, 154.079682]"
88,"[83.1092289, 75.7425033]"
89,"[92.7320214, 112.285776]"
90,"[65.986396, 68.567929]"
91,"[92.7265729, 82.8374924]"
92,"[78.2766092, 100.540851]"
93,"[161.204779, 224.077361]"
94,"[79.1669348, 76.3867435]"
95,"[84.9990763, 71.3393373]"
96,"[65.2726469, 97.8727204]"
97,"[127.237448, 136.218782]"
98,"[150.473293, 235.342598]"
99,"[114.874116, 109.307756]"
100,"[126.754955, 113.973733]"
101,"[136.79198, 123.270841]"
102,"[101.641962, 107.060539]"
103,"[69.3567064, 57.3375826]"
104,"[70.6810064, 73.8030575]"
105,"[193.176521, 182.397021]"
106,"[166.733331, 158.64694]"
107,"[92.5596702, 103.157983]"
108,"[53.2494482, 86.7235903]"
109,"[286.568422, 324.183327]"
110,"[94.4236824, 103.437661]"
111,"[73.5671473, 76.3716546]"
112,"[51.9807055, 49.8894423]"
113,"[220.133992, 180.933557]"
114,"[102.867273, 113.875617]"
115,"[58.0464512, 65.3057393]"
116,"[59.75995, 76.0355216]"
117,"[65.8309519, 87.651003]"
118,"[85.2855453, 84.4359256]"
119,"[155.359767, 214.064105]"
120,"[94.4544592, 168.407675]"
121,"[61.1933051, 65.0477268]"
122,"[126.038788, 115.11578]"
123,"[79.7814588, 80.9142171]"
124,"[85.9805394, 79.1466073]"
125,"[115.863718, 131.391043]"
126,"[160.089502, 249.51324]"
127,"[100.963093, 94.1935418]"
128,"[75.9488873, 74.5659219]"
129,"[85.9088176, 103.68933]"
130,"[102.573049, 60.1955777]"
131,"[49.3458702, 48.8796197]"
132,"[62.7002923, 61.2842984]"
133,"[52.9713906, 50.0726663]"
134,"[49.5898676, 49.6029951]"
135,"[159.236503, 157.828594]"
136,"[116.046151, 112.549096]"
137,"[95.6023994, 94.8792629]"
138,"[172.297687, 191.602176]"
139,"[170.338148, 303.119795]"
140,"[106.854991, 82.582803]"
141,"[68.0352029, 80.45732]"
142,"[53.458854, 66.548002]"
143,"[53.9600013, 58.0069033]"
144,"[74.2761193, 81.5258498]"
145,"[107.87066, 96.7871482]"
146,"[71.1883079, 71.2062994]"
147,"[53.8422449, 56.9902746]"
148,"[234.123443, 139.730157]"
149,"[205.141691, 331.746001]"
150,"[175.026907, 177.397524]"
151,"[130.461086, 105.911858]"
152,"[110.160544, 125.585409]"
153,"[101.137924, 114.120179]"
154,"[114.557927, 90.4018829]"
155,"[121.69709, 61.4897984]"
156,"[126.248291, 123.71289]"
157,"[57.8660665, 58.5672357]"
158,"[116.562833, 103.276811]"
159,"[56.3187725, 87.9234901]"
160,"[195.490413, 175.124978]"
161,"[87.9652709, 120.928002]"
162,"[40.6301063, 41.2634057]"
163,"[44.1386854, 50.5486125]"
164,"[43.0363539, 46.1771236]"
165,"[108.238512, 79.1280517]"
166,"[87.4981245, 96.7932909]"
167,"[101.426628, 83.8853357]"
168,"[69.3011899, 111.747179]"
169,"[86.186633, 84.1489064]"
170,"[84.4527644, 73.8722454]"
171,"[61.8353281, 58.9288117]"
172,"[68.7721673, 78.6246922]"
173,"[61.3591599, 53.7621697]"
174,"[70.502979, 42.4092255]"
175,"[77.4040003, 55.5297086]"
176,"[115.532045, 106.422547]"
177,"[60.6432809, 56.8993882]"
178,"[72.0604981, 73.7647801]"
179,"[50.3677198, 83.7292363]"
180,"[73.3036442, 124.806108]"
181,"[54.6677509, 52.7164795]"
182,"[42.993469, 43.4820252]"
183,"[77.8811896, 66.6470983]"
184,"[63.0743685, 67.1448065]"
185,"[44.3801618, 52.7679013]"
186,"[85.3039226, 71.7759311]"
187,"[51.0602435, 51.5493376]"
188,"[64.3381258, 102.593073]"
189,"[136.325637, 118.781829]"
190,"[71.3674287, 73.6342013]"
191,"[91.463585, 78.1432908]"
192,"[121.643903, 74.8406059]"
193,"[77.1758067, 133.828222]"
194,"[142.802068, 247.283893]"
195,"[165.058126, 106.294005]"
196,"[85.9672376, 80.0038684]"
197,"[102.889723, 105.939375]"
198,"[170.396579, 300.308476]"
199,"[118.996536, 214.511276]"
200,"[140.607432, 153.631085]"
201,"[133.27833, 133.04167]"
202,"[56.5548136, 109.034241]"
203,"[136.377282, 113.727943]"
204,"[136.184126, 259.885695]"
205,"[114.155623, 137.469893]"
206,"[156.507002, 136.707648]"
207,"[49.7865006, 64.364911]"
208,"[47.5339933, 48.6209191]"
209,"[50.2343211, 62.7318935]"
210,"[165.3922, 203.528212]"
211,"[181.281496, 299.940904]"
212,"[85.7926022, 160.877281]"
213,"[138.591025, 139.485319]"
214,"[135.705761, 253.09352]"
215,"[118.592895, 120.018093]"
216,"[93.6801871, 92.2714224]"
217,"[99.533061, 95.3664207]"
218,"[80.2320498, 96.2389486]"
219,"[105.556057, 97.3315001]"
220,"[123.744998, 115.872871]"
221,"[142.242966, 257.296794]"
222,"[122.650225, 139.945895]"
223,"[82.5170012, 108.154694]"
224,"[63.6746844, 54.5826516]"
225,"[74.6326706, 71.2259621]"
226,"[82.3248928, 123.909507]"
227,"[116.884528, 116.097407]"
228,"[178.425636, 193.718481]"
229,"[96.4953118, 85.7191483]"
230,"[44.4132987, 52.8211921]"
231,"[106.290325, 166.073459]"
232,"[231.952806, 140.550621]"
233,"[80.3020322, 82.4954442]"
234,"[72.0498054, 72.1259905]"
235,"[52.4454898, 75.3982995]"
236,"[90.6946644, 160.528454]"
237,"[99.8811952, 203.972206]"
238,"[140.541636, 139.655571]"
239,"[116.536228, 201.760491]"
240,"[58.9779136, 54.5916338]"
241,"[50.3779586, 68.5325414]"
242,"[193.040261, 170.147923]"
243,"[110.57498, 109.564984]"
244,"[182.600363, 171.270538]"
245,"[83.873602, 79.4549979]"
246,"[43.3757876, 60.8086339]"
