episode,state
0,"[121.743761, 68.6239669]"
1,"[140.053508, 144.33614]"
2,"[108.152041, 108.025837]"
3,"[84.1415887, 84.4301085]"
4,"[82.0997411, 82.7651249]"
5,"[58.3197752, 109.712433]"
6,"[52.3750683, 52.0988104]"
7,"[156.367315, 132.893059]"
8,"[116.847239, 119.679223]"
9,"[148.360508, 94.2788985]"
10,"[77.4737902, 77.3699947]"
11,"[138.990352, 120.380441]"
12,"[115.394805, 102.702925]"
13,"[101.07326, 99.9341843]"
14,"[167.918458, 94.2599933]"
15,"[78.4813483, 83.5072425]"
16,"[199.655892, 148.274106]"
17,"[152.372023, 114.175904]"
18,"[81.7188357, 63.7671866]"
19,"[106.896254, 103.085527]"
20,"[90.7736647, 63.3490722]"
21,"[66.109647, 59.6986022]"
22,"[63.2754342, 62.4721902]"
23,"[70.2675631, 64.7629931]"
24,"[158.071503, 141.016735]"
25,"[129.219264, 114.735731]"
26,"[67.0663628, 70.4893505]"
27,"[66.422381, 66.1878184]"
28,"[138.135538, 128.596797]"
29,"[115.994738, 116.536914]"
30,"[81.0228762, 70.3989645]"
31,"[95.662597, 99.6258211]"
32,"[58.2705892, 56.7241641]"
33,"[92.994229, 127.217484]"
34,"[120.461738, 109.677274]"
35,"[108.109222, 111.099082]"
36,"[49.7097754, 53.5782519]"
37,"[156.709068, 194.230519]"
38,"[89.4939467, 99.7852748]"
39,"[82.6874891, 69.5927241]"
40,"[60.0798892, 53.4132228]"
41,"[47.8065895, 49.84278]"
42,"[97.8944628, 89.156147]"
43,"[70.9324673, 72.6182499]"
44,"[99.2237487, 115.62386]"
45,"[57.868189, 55.7725318]"
46,"[94.3323999, 83.701437]"
47,"[66.3671345, 56.4411322]"
48,"[106.076509, 92.1075967]"
49,"[48.7557503, 51.3680502]"
50,"[233.20238, 147.176607]"
51,"[200.53724, 431.212799]"
52,"[200.53724, 446.737816]"
53,"[200.130764, 445.605249]"
54,"[78.0872231, 158.137226]"
55,"[160.267612, 176.069421]"
56,"[230.510435, 204.596832]"
57,"[231.262605, 209.171271]"
58,"[409.468009, 203.955138]"
59,"[207.058143, 211.226655]"
60,"[81.2483322, 96.422347]"
61,"[56.7386652, 64.6774188]"
62,"[106.283264, 113.513024]"
63,"[119.861415, 56.84205]"
64,"[128.41787, 103.662467]"
65,"[126.154532, 84.1470995]"
66,"[80.669289, 126.844173]"
67,"[69.6017141, 67.0871314]"
68,"[105.295727, 125.843026]"
69,"[258.745013, 150.774092]"
70,"[114.297771, 114.97555]"
71,"[219.881916, 115.410863]"
72,"[127.491053, 107.599085]"
73,"[49.7308344, 51.4173629]"
74,"[174.919035, 185.691725]"
75,"[98.1451242, 101.499906]"
76,"[113.958899, 116.724342]"
77,"[99.2538427, 120.349604]"
78,"[93.6873935, 91.8279755]"
79,"[55.2840676, 81.8793754]"
80,"[119.078374, 230.612328]"
81,"[131.93312, 134.78193]"
82,"[68.4482326, 53.4482638]"
83,"[80.1046726, 51.9291884]"
84,"[188.227509, 210.35376]"
85,"[181.846247, 183.283665]"
86,"[86.399811, 126.298288]"
87,"[236.616269, 119.064597]"
88,"[143.630945, 164.451798]"
89,"[77.5858594, 91.0962174]"
90,"[60.7989976, 54.7322221]"
