episode,state
0,"[82.8584226, 79.0251224]"
1,"[71.6425693, 153.514208]"
2,"[141.676248, 127.057846]"
3,"[80.9923988, 123.693772]"
4,"[44.4172587, 88.9155388]"
5,"[45.7584482, 40.3232931]"
6,"[67.7823773, 57.8188103]"
7,"[199.382041, 207.08175]"
8,"[124.077093, 167.716945]"
9,"[40.3677262, 39.603309]"
10,"[46.9545288, 51.0107611]"
11,"[160.517764, 167.55949]"
12,"[91.7958532, 84.2819052]"
13,"[55.8772476, 41.028862]"
14,"[117.677396, 73.8710959]"
15,"[190.34144, 130.841978]"
16,"[158.461609, 338.220322]"
17,"[134.720236, 284.621]"
18,"[54.5247113, 52.5600409]"
19,"[45.7108514, 83.3854934]"
20,"[42.8671374, 41.8579474]"
21,"[50.6290796, 52.4657377]"
22,"[43.1130312, 85.9322088]"
23,"[83.0842021, 83.3491501]"
24,"[122.641322, 116.705204]"
25,"[87.1996097, 171.965148]"
26,"[47.6164815, 48.6851223]"
27,"[65.4652833, 81.7700633]"
28,"[57.5480671, 66.6242328]"
29,"[49.7874099, 47.7001819]"
30,"[40.4608879, 41.023877]"
31,"[121.833157, 96.785062]"
32,"[55.9022806, 119.997033]"
33,"[99.7938209, 100.102435]"
34,"[47.554503, 49.8793873]"
35,"[96.4458653, 83.4001241]"
36,"[81.9260892, 173.108889]"
37,"[51.1406068, 94.8558605]"
38,"[85.0334479, 86.1933501]"
39,"[106.011296, 141.8633]"
40,"[50.1071327, 50.7058501]"
41,"[50.6934583, 93.1122611]"
42,"[68.3326313, 54.7446003]"
43,"[54.7433241, 50.1338605]"
44,"[128.313896, 122.279062]"
45,"[53.8603671, 52.0839182]"
46,"[42.4131016, 47.9280145]"
47,"[69.7241405, 62.3096182]"
48,"[48.9222485, 49.0853533]"
49,"[81.1650907, 117.235341]"
50,"[59.664767, 131.85801]"
51,"[410.395849, 406.377266]"
52,"[430.185376, 427.681404]"
53,"[421.423722, 415.696365]"
54,"[432.213945, 429.266132]"
55,"[78.5030082, 72.8591426]"
56,"[77.3307469, 78.6539619]"
57,"[135.668586, 184.559055]"
58,"[80.7003591, 79.8896283]"
59,"[152.430339, 111.301211]"
60,"[185.847992, 161.724129]"
61,"[171.695369, 174.082358]"
62,"[110.131557, 93.7961965]"
63,"[46.6928068, 47.4484457]"
64,"[68.5385226, 45.2381637]"
65,"[110.473276, 126.864936]"
66,"[163.09498, 143.162407]"
67,"[115.33559, 126.241892]"
68,"[60.8986124, 57.1505218]"
69,"[133.143278, 99.6442029]"
70,"[61.5196285, 80.4888141]"
71,"[121.784198, 87.7840847]"
72,"[49.9370142, 50.3184611]"
73,"[137.456134, 192.962853]"
74,"[127.001831, 118.006221]"
75,"[82.8281211, 78.2072485]"
76,"[137.563933, 193.237081]"
77,"[96.7437442, 88.5033929]"
78,"[182.779216, 195.292263]"
79,"[198.194378, 178.055957]"
80,"[148.283227, 243.563258]"
81,"[197.195338, 150.459605]"
82,"[287.264809, 206.920946]"
83,"[211.447932, 244.911009]"
84,"[120.669533, 126.831867]"
85,"[178.148426, 173.049578]"
86,"[121.172944, 125.354978]"
87,"[94.7649117, 84.3189238]"
88,"[79.3708699, 73.1636734]"
89,"[52.3900635, 77.1579296]"
90,"[107.215706, 138.105644]"
91,"[276.66823, 159.465034]"
92,"[292.748347, 162.964809]"
93,"[185.386479, 205.300434]"
94,"[191.405674, 415.052431]"
95,"[133.987103, 258.550258]"
96,"[82.6040984, 73.6378993]"
97,"[124.605528, 106.256015]"
98,"[98.7673182, 170.036163]"
99,"[131.155465, 130.942893]"
100,"[161.414123, 165.501145]"
101,"[102.296261, 105.13775]"
102,"[257.374558, 140.323769]"
103,"[125.059538, 121.658931]"
104,"[92.3216954, 88.8274182]"
105,"[56.9621669, 66.7711889]"
106,"[74.163466, 67.6057406]"
107,"[84.751621, 84.0064184]"
108,"[52.3871253, 62.0525612]"
109,"[56.0260965, 83.3988837]"
110,"[43.9481259, 45.0436749]"
111,"[60.7497374, 51.6055198]"
112,"[78.1068094, 85.0443049]"
113,"[84.1856671, 78.9894742]"
114,"[122.63874, 131.345454]"
115,"[128.752928, 101.272321]"
116,"[52.6975289, 66.7981971]"
117,"[73.6885189, 45.3481032]"
118,"[66.0970092, 61.9516602]"
119,"[85.2437694, 80.2656878]"
120,"[106.985861, 82.285158]"
121,"[64.3056559, 69.9270924]"
122,"[89.2274045, 102.506976]"
123,"[172.959846, 132.146731]"
124,"[91.5102032, 94.4176037]"
125,"[141.483107, 150.421476]"
126,"[148.086616, 124.561319]"
127,"[57.0481781, 54.7948247]"
128,"[40.3871411, 42.3037697]"
129,"[138.92654, 138.203031]"
130,"[83.9232817, 80.4194872]"
131,"[56.1311941, 53.7965477]"
132,"[253.687111, 203.287379]"
133,"[197.280136, 188.12895]"
134,"[79.5670526, 83.3444499]"
135,"[48.6124624, 48.6091801]"
136,"[57.1007522, 59.7543981]"
137,"[48.3935892, 50.7408038]"
138,"[45.7337416, 58.5629382]"
139,"[45.0345338, 45.7365505]"
140,"[112.199802, 89.1787672]"
141,"[117.265828, 112.853395]"
142,"[51.3253554, 56.719845]"
143,"[137.827277, 135.075343]"
144,"[83.6055223, 86.0243372]"
145,"[41.9920449, 42.4558799]"
146,"[70.5923931, 42.089548]"
147,"[146.71655, 165.583232]"
148,"[97.6873426, 103.561079]"
149,"[125.3181, 100.021093]"
150,"[78.4857786, 58.5015619]"
151,"[190.785802, 166.025032]"
152,"[107.940426, 109.450707]"
153,"[71.8922158, 58.6620122]"
154,"[125.142331, 85.2092181]"
155,"[67.2022768, 70.661561]"
156,"[104.635753, 100.453912]"
157,"[55.3996017, 54.3644927]"
158,"[46.7893758, 55.7732497]"
159,"[178.958708, 174.978083]"
160,"[131.965249, 129.323311]"
161,"[55.3780581, 54.103485]"
162,"[117.116943, 114.916368]"
163,"[116.605217, 98.4356864]"
164,"[89.0782632, 92.1231984]"
165,"[51.0473286, 51.8182698]"
166,"[41.1401644, 40.2101088]"
167,"[68.4738109, 65.8124327]"
168,"[142.330003, 129.285193]"
169,"[80.8569881, 83.5782125]"
170,"[42.0922459, 43.8831086]"
171,"[117.1384, 115.954808]"
172,"[57.2904414, 60.6480287]"
173,"[52.9124618, 54.5329555]"
174,"[61.3871651, 64.024117]"
175,"[58.2353146, 60.4229248]"
176,"[53.5624248, 52.0410934]"
177,"[107.976214, 110.421479]"
178,"[83.9865839, 78.5941038]"
179,"[130.525657, 114.56258]"
180,"[112.515216, 102.670285]"
181,"[58.6095133, 55.9714274]"
182,"[62.9709968, 69.0820338]"
183,"[100.751672, 97.1271021]"
184,"[51.8488354, 56.097127]"
185,"[50.925974, 50.4666886]"
186,"[63.5873919, 59.8257942]"
187,"[140.049086, 130.73796]"
188,"[90.0474328, 96.933367]"
189,"[139.93709, 147.51794]"
190,"[172.889859, 177.616402]"
191,"[109.376064, 100.326428]"
192,"[117.906023, 134.661429]"
193,"[88.8903371, 73.9085843]"
194,"[103.956484, 139.788789]"
195,"[155.608572, 132.010317]"
